name,n,k,count,selected_prefill_backend,selected_decode_backend,selected_total_ms,selected_prefill_ms,selected_decode_ms,selected_conversion_ms,reason
mlp.down_proj,4096,11008,32,sparse_nvfp4,sparse_nvfp4,156.20710296630858,4.881471967697143,0.0,0.0,
mlp.gate_proj,11008,4096,32,sparse_nvfp4,sparse_nvfp4,75.53259353637695,2.3603935480117797,0.0,0.0,
mlp.up_proj,11008,4096,32,sparse_nvfp4,sparse_nvfp4,75.50689315795898,2.3595904111862183,0.0,0.0,
self_attn.k_proj,4096,4096,32,sparse_nvfp4,sparse_nvfp4,59.62137641906738,1.8631680130958557,0.0,0.0,
self_attn.o_proj,4096,4096,32,sparse_nvfp4,sparse_nvfp4,59.86805725097656,1.8708767890930176,0.0,0.0,
self_attn.q_proj,4096,4096,32,sparse_nvfp4,sparse_nvfp4,59.890381240844725,1.8715744137763977,0.0,0.0,
self_attn.v_proj,4096,4096,32,sparse_nvfp4,sparse_nvfp4,59.76791076660156,1.8677472114562987,0.0,0.0,
