candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,decode_ms,total_ms,weighted_total_ms,online_conversion_ms,model,scenario,linear_group,n,k,count
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.8718719959259034,0.0,1.8718719959259034,59.89990386962891,0.0,Llama-3.1-8B,prefill_only,self_attn.o_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.3930239915847777,0.0,2.3930239915847777,76.57676773071289,0.0,Llama-3.1-8B,prefill_only,self_attn.o_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.0377823948860168,0.0,2.0377823948860168,65.20903663635254,0.0,Llama-3.1-8B,prefill_only,self_attn.o_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.4742432117462156,0.0,2.4742432117462156,79.1757827758789,0.0,Llama-3.1-8B,prefill_only,self_attn.q_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,4.948697662353515,0.0,4.948697662353515,158.3583251953125,0.0,Llama-3.1-8B,prefill_only,self_attn.q_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.0259167909622193,0.0,2.0259167909622193,64.82933731079102,0.0,Llama-3.1-8B,prefill_only,self_attn.q_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.8687103867530823,0.0,1.8687103867530823,59.798732376098634,0.0,Llama-3.1-8B,prefill_only,self_attn.q_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.388755226135254,0.0,2.388755226135254,76.44016723632812,0.0,Llama-3.1-8B,prefill_only,self_attn.q_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.0566688060760496,0.0,2.0566688060760496,65.81340179443359,0.0,Llama-3.1-8B,prefill_only,self_attn.q_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,0.7800704002380371,0.0,0.7800704002380371,24.962252807617187,0.0,Llama-3.1-8B,prefill_only,self_attn.v_proj,1024,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,4.590681707859039,0.0,4.590681707859039,146.90181465148925,0.0,Llama-3.1-8B,prefill_only,self_attn.v_proj,1024,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.6760192036628723,0.0,1.6760192036628723,53.63261451721191,0.0,Llama-3.1-8B,prefill_only,self_attn.v_proj,1024,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.6322207927703858,0.0,1.6322207927703858,52.231065368652345,0.0,Llama-3.1-8B,prefill_only,self_attn.v_proj,1024,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,0.6386943995952606,0.0,0.6386943995952606,20.43822078704834,0.0,Llama-3.1-8B,prefill_only,self_attn.v_proj,1024,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,1.6836607933044434,0.0,1.6836607933044434,53.87714538574219,0.0,Llama-3.1-8B,prefill_only,self_attn.v_proj,1024,4096,32
