model,batch_size,input_tokens,output_tokens,scenario,prefill_ms,decode_per_token_ms,first_decode_ms,prefill_all_linear_pct,decode_all_linear_pct,prefill_other_pct,decode_other_pct,status
4b,1,4096,32,prefill_decode,407.68817443847655,27.026185454091717,27.297001457214357,36.6,23.8,0.7,11.0,
4b,1,4096,128,prefill_decode,408.1215118408203,27.105625873475564,27.31323528289795,N/A,N/A,N/A,N/A,
4b,1,4096,256,prefill_decode,407.9027404785156,27.0567909487556,27.27854404449463,N/A,N/A,N/A,N/A,
4b,1,8192,1,prefill_only,906.0799438476563,0.0,27.207225608825684,32.3,24.0,0.4,11.6,
4b,1,8192,32,prefill_decode,906.3521301269532,27.032775319007136,27.1690975189209,30.7,24.1,7.9,11.6,
4b,1,8192,128,prefill_decode,906.9874572753906,27.040141725915625,27.260793685913086,N/A,N/A,N/A,N/A,
4b,1,8192,256,prefill_decode,906.1911315917969,26.997379735310872,27.12589473724365,N/A,N/A,N/A,N/A,
4b,4,256,1,prefill_only,132.28832244873047,0.0,28.276531219482422,25.8,25.5,2.7,11.9,
4b,4,256,32,prefill_decode,132.4462921142578,28.078515538861673,28.19685115814209,26.1,26.1,3.4,12.0,
4b,4,256,128,prefill_decode,132.57709503173828,28.09172134399414,28.261523246765137,N/A,N/A,N/A,N/A,
4b,4,256,256,prefill_decode,132.62544860839844,28.090445493062337,28.20496654510498,N/A,N/A,N/A,N/A,
4b,4,1024,1,prefill_only,331.2211029052734,0.0,28.277395248413086,44.5,26.0,0.7,12.3,
4b,4,1024,32,prefill_decode,331.1626342773437,28.120685079020838,28.354345893859865,46.2,26.1,1.1,12.6,
4b,4,1024,128,prefill_decode,331.1906372070313,28.07564354093056,28.266979598999022,N/A,N/A,N/A,N/A,
4b,4,1024,256,prefill_decode,331.18675231933594,28.073485795563343,28.288726234436034,N/A,N/A,N/A,N/A,
4b,4,4096,1,prefill_only,1443.7523193359375,0.0,28.340752410888673,41.0,41.1,0.6,10.2,
4b,4,4096,32,prefill_decode,1444.2246459960938,28.12419806449644,28.388425636291505,41.0,26.6,0.7,12.9,
4b,4,4096,128,prefill_decode,1444.3768676757813,27.970679798276407,28.18337936401367,N/A,N/A,N/A,N/A,
