key,family,policy_name,policy_json,batch_size,predicted_linear_latency_ms,predicted_linear_speedup_vs_dense,predicted_quality_cost,backend_counts,replacement_ratio,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,parent_point,mutation_rate,suspicious_module_count
suspicious_suspicious_002,suspicious,suspicious_002,artifacts/debug/025_fakevlm_pareto_search_audit/policies/suspicious/suspicious_002.json,16,610.8057838865462,1.6120977938444363,0.03640072717776429,"{'dense_bf16': 103, 'dense_nvfp4': 53, 'sparse_bf16': 59, 'sparse_nvfp4': 9}",,103,53,59,9,18,,32
suspicious_suspicious_003,suspicious,suspicious_003,artifacts/debug/025_fakevlm_pareto_search_audit/policies/suspicious/suspicious_003.json,16,605.3060968674904,1.6267449836813423,0.032269052848244696,"{'dense_bf16': 101, 'dense_nvfp4': 57, 'sparse_bf16': 60, 'sparse_nvfp4': 6}",,101,57,60,6,18,,32
suspicious_suspicious_004,suspicious,suspicious_004,artifacts/debug/025_fakevlm_pareto_search_audit/policies/suspicious/suspicious_004.json,16,614.216662143441,1.6031454653715758,0.029160221799566767,"{'dense_bf16': 103, 'dense_nvfp4': 55, 'sparse_bf16': 60, 'sparse_nvfp4': 6}",,103,55,60,6,18,,32
suspicious_suspicious_005,suspicious,suspicious_005,artifacts/debug/025_fakevlm_pareto_search_audit/policies/suspicious/suspicious_005.json,16,610.7753658393652,1.61217808009941,0.02666607372140515,"{'dense_bf16': 104, 'dense_nvfp4': 55, 'sparse_bf16': 62, 'sparse_nvfp4': 3}",,104,55,62,3,18,,32
suspicious_suspicious_006,suspicious,suspicious_006,artifacts/debug/025_fakevlm_pareto_search_audit/policies/suspicious/suspicious_006.json,16,475.017329581639,2.072932070790252,0.2137047984172007,"{'dense_bf16': 9, 'dense_nvfp4': 11, 'sparse_bf16': 149, 'sparse_nvfp4': 55}",,9,11,149,55,25,,32
suspicious_suspicious_007,suspicious,suspicious_007,artifacts/debug/025_fakevlm_pareto_search_audit/policies/suspicious/suspicious_007.json,16,466.8077655140339,2.109387909574781,0.2183127957176433,"{'dense_bf16': 6, 'dense_nvfp4': 8, 'sparse_bf16': 151, 'sparse_nvfp4': 59}",,6,8,151,59,25,,32
suspicious_suspicious_008,suspicious,suspicious_008,artifacts/debug/025_fakevlm_pareto_search_audit/policies/suspicious/suspicious_008.json,16,475.324811578536,2.071591115559151,0.21360217031719353,"{'dense_bf16': 8, 'dense_nvfp4': 5, 'sparse_bf16': 155, 'sparse_nvfp4': 56}",,8,5,155,56,25,,32
suspicious_suspicious_009,suspicious,suspicious_009,artifacts/debug/025_fakevlm_pareto_search_audit/policies/suspicious/suspicious_009.json,16,486.66592287849005,2.0233154005253327,0.2136666576883369,"{'dense_bf16': 16, 'dense_nvfp4': 4, 'sparse_bf16': 149, 'sparse_nvfp4': 55}",,16,4,149,55,25,,32
suspicious_suspicious_010,suspicious,suspicious_010,artifacts/debug/025_fakevlm_pareto_search_audit/policies/suspicious/suspicious_010.json,16,478.915240264415,2.0560603920795453,0.21535576591502936,"{'dense_bf16': 9, 'dense_nvfp4': 5, 'sparse_bf16': 154, 'sparse_nvfp4': 56}",,9,5,154,56,25,,32
reference_024_batch_16_point_000,reference_024,batch_16_point_000,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_000.json,16,984.6786566709227,1.0,0.0,"{'dense_bf16': 224, 'dense_nvfp4': 0, 'sparse_bf16': 0, 'sparse_nvfp4': 0}",,224,0,0,0,0,,
reference_024_batch_16_point_004,reference_024,batch_16_point_004,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_004.json,16,968.9535206588902,1.0162289889832274,0.00018781177416607418,"{'dense_bf16': 220, 'dense_nvfp4': 4, 'sparse_bf16': 0, 'sparse_nvfp4': 0}",,220,4,0,0,4,,
reference_024_batch_16_point_008,reference_024,batch_16_point_008,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_008.json,16,941.4345326378333,1.0459342870203863,0.0009660923416600694,"{'dense_bf16': 213, 'dense_nvfp4': 11, 'sparse_bf16': 0, 'sparse_nvfp4': 0}",,213,11,0,0,8,,
reference_024_batch_16_point_011,reference_024,batch_16_point_011,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_011.json,16,894.2591246017357,1.1011111092765824,0.0024050409106073796,"{'dense_bf16': 201, 'dense_nvfp4': 23, 'sparse_bf16': 0, 'sparse_nvfp4': 0}",,201,23,0,0,11,,
reference_024_batch_16_point_015,reference_024,batch_16_point_015,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_015.json,16,752.732900493443,1.3081381935417344,0.00628876239394728,"{'dense_bf16': 165, 'dense_nvfp4': 59, 'sparse_bf16': 0, 'sparse_nvfp4': 0}",,165,59,0,0,15,,
reference_024_batch_16_point_018,reference_024,batch_16_point_018,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_018.json,16,587.8043501102961,1.6751809619751141,0.023050280472202304,"{'dense_bf16': 103, 'dense_nvfp4': 64, 'sparse_bf16': 57, 'sparse_nvfp4': 0}",,103,64,57,0,18,,
reference_024_batch_16_point_019,reference_024,batch_16_point_019,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_019.json,16,548.7533711102961,1.7943919955855874,0.03181368247727924,"{'dense_bf16': 70, 'dense_nvfp4': 64, 'sparse_bf16': 90, 'sparse_nvfp4': 0}",,70,64,90,0,19,,
reference_024_batch_16_point_020,reference_024,batch_16_point_020,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_020.json,16,500.23548811029616,1.9684302295118503,0.04213744969764091,"{'dense_bf16': 29, 'dense_nvfp4': 64, 'sparse_bf16': 131, 'sparse_nvfp4': 0}",,29,64,131,0,20,,
reference_024_batch_16_point_021,reference_024,batch_16_point_021,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_021.json,16,460.51542625826414,2.138209928539288,0.06277628470124316,"{'dense_bf16': 0, 'dense_nvfp4': 53, 'sparse_bf16': 160, 'sparse_nvfp4': 11}",,0,53,160,11,21,,
reference_024_batch_16_point_022,reference_024,batch_16_point_022,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_022.json,16,451.1837751502089,2.182433657644497,0.09983027723115029,"{'dense_bf16': 0, 'dense_nvfp4': 34, 'sparse_bf16': 160, 'sparse_nvfp4': 30}",,0,34,160,30,22,,
reference_024_batch_16_point_025,reference_024,batch_16_point_025,/root/wja/project/my/cospaq/fake/artifacts/debug/025_fakevlm_pareto_search_audit/policies/reference_024/batch_16_point_025.json,16,434.48503106211,2.266312039022035,0.23572979522396667,"{'dense_bf16': 0, 'dense_nvfp4': 0, 'sparse_bf16': 160, 'sparse_nvfp4': 64}",,0,0,160,64,25,,
