variant,prefill_ms,decode_x_n_ms,e2e_ms,backend_counts
attn_k_proj-marlin_q_proj-marlin_v_proj-marlin,1253.83154296875,6172.910243988037,7426.741786956787,"{'marlin_nvfp4': 128, 'dense_nvfp4/marlin_nvfp4': 96}"
attn_k_proj-marlin_q_proj-bf16_v_proj-marlin,1245.3258056640625,6278.2284507751465,7523.554256439209,"{'bf16': 32, 'marlin_nvfp4': 96, 'dense_nvfp4/marlin_nvfp4': 96}"
attn_k_proj-marlin_q_proj-marlin_v_proj-bf16,1247.0389404296875,6312.276908874512,7559.315849304199,"{'marlin_nvfp4': 96, 'bf16': 32, 'dense_nvfp4/marlin_nvfp4': 96}"
attn_k_proj-bf16_q_proj-marlin_v_proj-marlin,1246.5850830078125,6339.147005081177,7585.732088088989,"{'marlin_nvfp4': 96, 'bf16': 32, 'dense_nvfp4/marlin_nvfp4': 96}"
attn_k_proj-bf16_q_proj-bf16_v_proj-marlin,1252.1947021484375,6439.7978439331055,7691.992546081543,"{'bf16': 64, 'marlin_nvfp4': 64, 'dense_nvfp4/marlin_nvfp4': 96}"
attn_k_proj-marlin_q_proj-bf16_v_proj-bf16,1271.5987548828125,6460.887901306152,7732.486656188965,"{'bf16': 64, 'marlin_nvfp4': 64, 'dense_nvfp4/marlin_nvfp4': 96}"
attn_k_proj-bf16_q_proj-bf16_v_proj-bf16,1246.801025390625,6515.847881317139,7762.648906707764,"{'bf16': 96, 'marlin_nvfp4': 32, 'dense_nvfp4/marlin_nvfp4': 96}"
attn_k_proj-bf16_q_proj-marlin_v_proj-bf16,1565.727783203125,6426.427770614624,7992.155553817749,"{'marlin_nvfp4': 64, 'bf16': 64, 'dense_nvfp4/marlin_nvfp4': 96}"
