family,label,dataset,speedup,score,screened
old,point_0,IWSLT,1.0,19.411758651336964,False
old,point_0,cnn_dm_1000,1.0,23.61032474800552,False
old,point_0,dsum,1.0,21.598181660389766,False
old,point_1,IWSLT,1.0122074685571654,19.437368009710276,False
old,point_1,cnn_dm_1000,1.0122074685571654,23.77054844867785,False
old,point_1,dsum,1.0122074685571654,21.51506054624887,False
old,point_2,IWSLT,1.0102019534865223,19.56546084559108,False
old,point_2,cnn_dm_1000,1.0102019534865223,23.623289157856924,False
old,point_2,dsum,1.0102019534865223,21.759558629626994,False
old,point_3,IWSLT,1.0320844142904266,20.23791657386653,False
old,point_3,cnn_dm_1000,1.0320844142904266,23.776067154266176,False
old,point_3,dsum,1.0320844142904266,21.38457601902527,False
old,point_4,IWSLT,1.0168005710240078,19.609265848606476,False
old,point_4,cnn_dm_1000,1.0168005710240078,23.88062743107757,False
old,point_4,dsum,1.0168005710240078,21.525319614043823,False
old,point_5,IWSLT,1.0578785023104575,19.126002625416398,False
old,point_5,cnn_dm_1000,1.0578785023104575,23.81971989986285,False
old,point_5,dsum,1.0578785023104575,21.713345677055155,False
old,point_6,IWSLT,1.0611612313022845,18.013057480432984,False
old,point_6,cnn_dm_1000,1.0611612313022845,23.834062536787183,False
old,point_6,dsum,1.0611612313022845,21.412176672406275,False
old,point_7,IWSLT,1.1653215909095045,19.256275453235446,False
old,point_7,cnn_dm_1000,1.1653215909095045,23.648421647456807,False
old,point_7,dsum,1.1653215909095045,21.862508756190245,False
old,point_8,IWSLT,1.17889158391773,18.919818455723398,False
old,point_8,cnn_dm_1000,1.17889158391773,23.818671312842767,False
old,point_8,dsum,1.17889158391773,21.643494778366286,False
old,point_9,IWSLT,1.071378082778083,18.41879434601933,False
old,point_9,cnn_dm_1000,1.071378082778083,23.769612193523777,False
old,point_9,dsum,1.071378082778083,21.41893581957133,False
old,point_10,IWSLT,1.3558713391335027,16.81567509740944,False
old,point_10,cnn_dm_1000,1.3558713391335027,23.42440465064901,False
old,point_10,dsum,1.3558713391335027,21.30006028769962,False
old,point_11,IWSLT,1.7138286088745658,18.3005454068444,False
old,point_11,cnn_dm_1000,1.7138286088745658,23.54448451072056,False
old,point_11,dsum,1.7138286088745658,21.581150643688353,False
intermediate,i34,cnn_dm_1000,1.4510981001765166,23.751909556183858,True
intermediate,i34,dsum,1.4510981001765166,21.70262104808348,True
intermediate,i34,IWSLT,1.4510981001765166,18.304166072069968,True
intermediate,i36,cnn_dm_1000,1.626724805925876,23.8333589563156,True
intermediate,i36,dsum,1.626724805925876,21.624596618023105,True
intermediate,i36,IWSLT,1.626724805925876,18.948561581657515,True
intermediate,i37,cnn_dm_1000,1.6594909048188005,23.84344563517821,True
intermediate,i37,dsum,1.6594909048188005,21.68470484442654,True
intermediate,i37,IWSLT,1.6594909048188005,18.63937995670613,True
intermediate,i38,cnn_dm_1000,1.680271227768507,23.754062024110944,True
intermediate,i38,dsum,1.680271227768507,21.633494919296222,True
intermediate,i38,IWSLT,1.680271227768507,19.029211002320928,True
baseline,dense_bf16,IWSLT,1.0,19.295782920893743,False
baseline,dense_bf16,cnn_dm_1000,1.0,23.670921942521996,False
baseline,dense_bf16,dsum,1.0,21.6884274989806,False
baseline,dense_nvfp4,IWSLT,1.1876669070662245,16.83504400661571,False
baseline,dense_nvfp4,cnn_dm_1000,1.1876669070662245,24.27316709602392,False
baseline,dense_nvfp4,dsum,1.1876669070662245,20.592439983847946,False
baseline,marlin_nvfp4,IWSLT,1.3867920235270572,18.199827875042086,False
baseline,marlin_nvfp4,cnn_dm_1000,1.3867920235270572,24.579271279422223,False
baseline,marlin_nvfp4,dsum,1.3867920235270572,21.36761570848509,False
baseline,sparse_bf16,IWSLT,1.4418279929302427,3.8998158055250642,False
baseline,sparse_bf16,cnn_dm_1000,1.4418279929302427,15.349945589337494,False
baseline,sparse_bf16,dsum,1.4418279929302427,13.539484283644915,False
baseline,sparse_nvfp4,IWSLT,1.1851652275149565,0.23786141262252805,False
baseline,sparse_nvfp4,cnn_dm_1000,1.1851652275149565,2.047047209920785,False
baseline,sparse_nvfp4,dsum,1.1851652275149565,9.38796571259981,False
