method,pairs,final_direction_accuracy,final_pair_pearson,raw_pair_pearson,measured_delta_mean,measured_delta_positive,raw_abs_delta_mean,final_abs_delta_mean
sparse_bf16,16,0.1875,0.1907667532573811,0.4096472794641939,-0.008047637553364337,3,0.01818100846022898,0.015852987324249914
dense_nvfp4,16,0.0625,-0.37623924281344706,-0.018932478704975598,-0.022140626075683054,1,0.003396810685537894,0.005340254547637288
sparse_nvfp4,16,0.1875,-0.3118249095134018,-0.17893045510267075,-0.029505110883432856,3,0.023609572689390235,0.04896920935203997
