method,pair_id,selected_modules,low_policy_id,high_policy_id,low_loss_delta,high_loss_delta,measured_pair_delta,raw_pair_delta,final_pair_delta,raw_abs_delta,final_abs_delta,final_direction_correct
sparse_bf16,sparse_bf16_c032_pair00,32,sparse_bf16_c032_pair00_low_final,sparse_bf16_c032_pair00_high_final,0.04118792884737088,0.0153045710285582,-0.02588335781881268,0.01670069499826443,0.014274035105502007,0.01670069499826443,0.014274035105502007,0
sparse_bf16,sparse_bf16_c032_pair01,32,sparse_bf16_c032_pair01_low_final,sparse_bf16_c032_pair01_high_final,0.028866724025480073,0.025207978172078205,-0.003658745853401868,0.019977676212417084,0.01410111088787435,0.019977676212417084,0.01410111088787435,0
sparse_bf16,sparse_bf16_c032_pair02,32,sparse_bf16_c032_pair02_low_final,sparse_bf16_c032_pair02_high_final,0.023400615106123457,0.023573680399915142,0.00017306529379168545,0.018799916488484225,0.013933645636422867,0.018799916488484225,0.013933645636422867,1
sparse_bf16,sparse_bf16_c032_pair03,32,sparse_bf16_c032_pair03_low_final,sparse_bf16_c032_pair03_high_final,0.022914139958510438,0.02417698018471559,0.001262840226205153,0.013949261743512853,0.013903562272839246,0.013949261743512853,0.013903562272839246,1
sparse_bf16,sparse_bf16_c032_pair04,32,sparse_bf16_c032_pair04_low_final,sparse_bf16_c032_pair04_high_final,0.05012552752186861,0.026522992875011475,-0.023602534646857132,0.015846327966278162,0.013792980627970026,0.015846327966278162,0.013792980627970026,0
sparse_bf16,sparse_bf16_c032_pair05,32,sparse_bf16_c032_pair05_low_final,sparse_bf16_c032_pair05_high_final,0.036759482437850544,0.023232771692443865,-0.013526710745406678,-0.006750521419539801,0.013676105093776994,0.006750521419539801,0.013676105093776994,0
sparse_bf16,sparse_bf16_c032_pair06,32,sparse_bf16_c032_pair06_low_final,sparse_bf16_c032_pair06_high_final,0.03157617994483908,0.029789686669575488,-0.0017864932752635898,0.022847525260461632,0.013667417918753186,0.022847525260461632,0.013667417918753186,0
sparse_bf16,sparse_bf16_c032_pair07,32,sparse_bf16_c032_pair07_low_final,sparse_bf16_c032_pair07_high_final,0.03287765144601962,0.020919699491586785,-0.011957951954432833,0.01364364311123567,0.013495220563604887,0.01364364311123567,0.013495220563604887,0
sparse_bf16,sparse_bf16_c064_pair00,64,sparse_bf16_c064_pair00_low_final,sparse_bf16_c064_pair00_high_final,0.0646348382162254,0.057734027534081855,-0.006900810682143543,0.030356543321821583,0.018391973832687536,0.030356543321821583,0.018391973832687536,0
sparse_bf16,sparse_bf16_c064_pair01,64,sparse_bf16_c064_pair01_low_final,sparse_bf16_c064_pair01_high_final,0.07039548646213967,0.06448148794603425,-0.005913998516105412,0.02483437440690084,0.01833258072013612,0.02483437440690084,0.01833258072013612,0
sparse_bf16,sparse_bf16_c064_pair02,64,sparse_bf16_c064_pair02_low_final,sparse_bf16_c064_pair02_high_final,0.07326693264239004,0.06453102862065108,-0.00873590402173896,0.014094294099957771,0.017856951571924143,0.014094294099957771,0.017856951571924143,0
sparse_bf16,sparse_bf16_c064_pair03,64,sparse_bf16_c064_pair03_low_final,sparse_bf16_c064_pair03_high_final,0.0668507051561209,0.05262009178355709,-0.014230613372563816,-0.030051797652328016,0.017831531008610707,0.030051797652328016,0.017831531008610707,0
sparse_bf16,sparse_bf16_c064_pair04,64,sparse_bf16_c064_pair04_low_final,sparse_bf16_c064_pair04_high_final,0.050776872616224766,0.06077034832680073,0.00999347571057596,0.03183212986496997,0.017804210456888334,0.03183212986496997,0.017804210456888334,1
sparse_bf16,sparse_bf16_c064_pair05,64,sparse_bf16_c064_pair05_low_final,sparse_bf16_c064_pair05_high_final,0.07294301464133057,0.06108902391855486,-0.011853990722775709,0.010168164560471205,0.017756115577160822,0.010168164560471205,0.017756115577160822,0
sparse_bf16,sparse_bf16_c064_pair06,64,sparse_bf16_c064_pair06_low_final,sparse_bf16_c064_pair06_high_final,0.06173455225278235,0.05180647881763556,-0.00992807343514679,0.00632971181262576,0.01748328896364365,0.00632971181262576,0.01748328896364365,0
