method,variant,pairs,loo_pearson,loo_spearman,loo_mae,direction_accuracy
sparse_bf16,raw_only,16,0.20468257671139703,0.2058823529411765,0.006809853578063558,0.8125
sparse_bf16,layer_depth,16,-0.10445808970517652,-0.06764705882352942,0.012986148604719734,0.375
sparse_bf16,linear_type,16,0.49856775421943,0.5264705882352941,0.008150019075488135,0.6875
sparse_bf16,layer_type,16,0.1768000791117018,0.16176470588235295,0.00842424927421965,0.75
dense_nvfp4,raw_only,16,-0.9961237197163488,-0.985294117647059,0.006824293841865207,0.9375
dense_nvfp4,layer_depth,16,0.2709777201049269,0.1411764705882353,0.00966696465121895,0.9375
dense_nvfp4,linear_type,16,0.04679389187782781,-0.21176470588235297,0.010605932934105238,0.9375
dense_nvfp4,layer_type,16,-0.07946313551135402,-0.15294117647058825,0.014667407296680729,0.9375
sparse_nvfp4,raw_only,16,-0.5943691249894809,-0.5676470588235294,0.03261729763509632,0.8125
sparse_nvfp4,layer_depth,16,0.6196775552764552,0.6794117647058824,0.021538180514973627,0.875
sparse_nvfp4,linear_type,16,-0.5306822599169001,-0.411764705882353,0.04951230193739679,0.6875
sparse_nvfp4,layer_type,16,0.18770893157776358,0.13529411764705884,0.02931332123477857,0.75
