module_name,from_method,to_method,latency_delta_ms,quality_delta
model.language_model.layers.2.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.0005188932073388207
model.language_model.layers.3.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.0004877761520246018
model.language_model.layers.3.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0005169136295782357
model.language_model.layers.5.self_attn.k_proj,dense_nvfp4,dense_bf16,0.47152300000000014,-6.447459177191736e-05
model.language_model.layers.5.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0005347025212571972
model.language_model.layers.13.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0005955479420678251
model.language_model.layers.14.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0006235045045359753
model.language_model.layers.15.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.000538864652185631
model.language_model.layers.17.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.0004912811804641777
model.language_model.layers.20.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0005489026777401243
model.language_model.layers.23.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.0004984281021260126
model.language_model.layers.24.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.0005091651480673758
model.language_model.layers.25.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.0005177975524878757
