module_name,from_method,to_method,latency_delta_ms,quality_delta
model.language_model.layers.0.mlp.up_proj,sparse_bf16,dense_nvfp4,-0.32844379494196874,3.7617710061360664e-05
model.language_model.layers.4.self_attn.q_proj,dense_bf16,sparse_bf16,-1.1833630000000002,0.0002158930165067037
model.language_model.layers.4.self_attn.k_proj,dense_bf16,dense_nvfp4,-0.47152300000000014,5.627867223453619e-05
model.language_model.layers.5.self_attn.k_proj,dense_bf16,dense_nvfp4,-0.47152300000000014,6.447459177191736e-05
model.language_model.layers.6.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.00057438366909593
model.language_model.layers.7.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0005978253615748321
model.language_model.layers.8.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0006041000460142674
model.language_model.layers.9.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0006151993634573315
model.language_model.layers.10.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0005999408961883178
model.language_model.layers.11.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0005787731655869621
model.language_model.layers.17.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0006463410535727756
model.language_model.layers.18.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0006407700352301292
model.language_model.layers.21.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0006945777200261662
model.language_model.layers.22.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0006982968070900168
model.language_model.layers.23.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0007057677883242758
model.language_model.layers.29.mlp.down_proj,dense_bf16,sparse_bf16,-3.61525173025332,0.0006353062548152232
