module_name,from_method,to_method,latency_delta_ms,quality_delta
model.language_model.layers.0.self_attn.v_proj,dense_bf16,sparse_bf16,-1.1833630000000002,6.550829082769846e-06
model.language_model.layers.4.mlp.gate_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.00033353914407268764
model.language_model.layers.5.self_attn.k_proj,dense_bf16,dense_nvfp4,-0.47152300000000014,6.447459177191736e-05
model.language_model.layers.10.mlp.up_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.00039511816421848643
model.language_model.layers.12.mlp.gate_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.00031810697600779354
model.language_model.layers.19.mlp.gate_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.00038423960605570934
model.language_model.layers.23.mlp.gate_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.00039343605737186935
model.language_model.layers.25.mlp.gate_proj,dense_bf16,dense_nvfp4,-3.9312840030081295,0.0003856122772832063
