point,dataset,samples,empty_predictions,speedup_vs_dense,e2e_median_ms,wikitext_delta_nll,rougeL_percent,bert_score_percent,sacre_bleu
6,cnn_dm_1000,1000,0,1.073533491403072,1005.5912267416716,0.0015633742309630883,24.11430831748362,87.22015054821968,
6,dsum,1500,0,1.073533491403072,1005.5912267416716,0.0015633742309630883,21.69018484627646,87.2137350956599,
6,IWSLT,333,0,1.073533491403072,1005.5912267416716,0.0015633742309630883,49.6708272691455,,21.140722956587922
9,cnn_dm_1000,1000,0,1.3631717581958502,791.9294498860836,0.011324487340467648,24.08887623088033,87.22311382293701,
9,dsum,1500,0,1.3631717581958502,791.9294498860836,0.011324487340467648,21.488988520726007,87.13458662033081,
9,IWSLT,333,0,1.3631717581958502,791.9294498860836,0.011324487340467648,47.32131742943045,,19.26419998850942
15,cnn_dm_1000,1000,171,1.9530588987754063,552.7410674840212,0.5355083026895304,1.1540534868047965,62.69667625427247,
15,dsum,1500,1,1.9530588987754063,552.7410674840212,0.5355083026895304,1.8908821762553978,76.35048933823903,
15,IWSLT,333,0,1.9530588987754063,552.7410674840212,0.5355083026895304,1.7869548332926495,,0.10851905244016478
