name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend
model.language_model.layers.0.self_attn.q_proj,model.language_model.layers.0.self_attn.q_proj,1,0,q_proj,attention,4096,4096,dense_bf16,dense_bf16
model.language_model.layers.0.self_attn.k_proj,model.language_model.layers.0.self_attn.k_proj,2,0,k_proj,attention,4096,4096,dense_bf16,dense_bf16
