method,rows,loss_delta_mean,loss_delta_min,loss_delta_max
dense_nvfp4,3,-0.0024630834185885853,-0.0024630834185885853,-0.0024630834185885853
sparse_nvfp4,3,-0.004957047719803764,-0.004957047719803764,-0.004957047719803764
