key,policy_index,batch_size_for_policy,point_index,policy_json,label,global_accuracy,total_right,total_wrong,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples
policy_012,12,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_012_sparse_bf16_r0.2.json,sparse_bf16_ratio_0.2,0.98580000,4929,71,45,0,"{'dense_bf16': 179, 'sparse_bf16': 45}",[],,8,128
policy_013,13,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_013_sparse_bf16_r0.35.json,sparse_bf16_ratio_0.35,0.98660000,4933,67,78,0,"{'dense_bf16': 146, 'sparse_bf16': 78}",[],,8,128
policy_008,8,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_008_dense_nvfp4_r1.json,dense_nvfp4_ratio_1,0.98700000,4935,65,224,0,{'dense_nvfp4': 224},[],,8,128
policy_014,14,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_014_sparse_bf16_r0.5.json,sparse_bf16_ratio_0.5,0.98740000,4937,63,112,0,"{'dense_bf16': 112, 'sparse_bf16': 112}",[],,8,128
policy_015,15,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_015_sparse_bf16_r0.75.json,sparse_bf16_ratio_0.75,0.98600000,4930,70,168,0,"{'dense_bf16': 56, 'sparse_bf16': 168}",[],,8,128
policy_017,17,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_017_sparse_nvfp4_r0.json,sparse_nvfp4_ratio_0,0.98640000,4932,68,0,0,{'dense_bf16': 224},[],,8,128
policy_018,18,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_018_sparse_nvfp4_r0.05.json,sparse_nvfp4_ratio_0.05,0.98560000,4928,72,11,0,"{'dense_bf16': 213, 'sparse_nvfp4': 11}",[],,8,128
policy_019,19,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_019_sparse_nvfp4_r0.1.json,sparse_nvfp4_ratio_0.1,0.98440000,4922,78,22,0,"{'dense_bf16': 202, 'sparse_nvfp4': 22}",[],,8,128
policy_020,20,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_020_sparse_nvfp4_r0.2.json,sparse_nvfp4_ratio_0.2,0.98440000,4922,78,45,0,"{'dense_bf16': 179, 'sparse_nvfp4': 45}",[],,8,128
policy_021,21,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_021_sparse_nvfp4_r0.35.json,sparse_nvfp4_ratio_0.35,0.98120000,4906,94,78,0,"{'dense_bf16': 146, 'sparse_nvfp4': 78}",[],,8,128
policy_016,16,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_016_sparse_bf16_r1.json,sparse_bf16_ratio_1,0.98520000,4926,74,224,0,{'sparse_bf16': 224},[],,8,128
policy_022,22,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_022_sparse_nvfp4_r0.5.json,sparse_nvfp4_ratio_0.5,0.97840000,4892,108,112,0,"{'dense_bf16': 112, 'sparse_nvfp4': 112}",[],,8,128
policy_025,25,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_025_random.json,random_mixed,0.98180000,4909,91,157,0,"{'dense_bf16': 67, 'dense_nvfp4': 53, 'sparse_bf16': 52, 'sparse_nvfp4': 52}",[],,8,128
policy_026,26,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_026_random.json,random_mixed,0.98140000,4907,93,162,0,"{'dense_bf16': 62, 'dense_nvfp4': 48, 'sparse_bf16': 55, 'sparse_nvfp4': 59}",[],,8,128
policy_027,27,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_027_random.json,random_mixed,0.96560000,4828,172,164,0,"{'dense_bf16': 60, 'dense_nvfp4': 49, 'sparse_bf16': 56, 'sparse_nvfp4': 59}",[],,8,128
policy_028,28,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_028_random.json,random_mixed,0.98400000,4920,80,174,0,"{'dense_bf16': 50, 'dense_nvfp4': 62, 'sparse_bf16': 57, 'sparse_nvfp4': 55}",[],,8,128
policy_023,23,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_023_sparse_nvfp4_r0.75.json,sparse_nvfp4_ratio_0.75,0.97780000,4889,111,168,0,"{'dense_bf16': 56, 'sparse_nvfp4': 168}",[],,8,128
policy_029,29,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_029_random.json,random_mixed,0.97920000,4896,104,167,0,"{'dense_bf16': 57, 'dense_nvfp4': 50, 'sparse_bf16': 62, 'sparse_nvfp4': 55}",[],,8,128
policy_033,33,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_033_random.json,random_mixed,0.98380000,4919,81,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 64, 'sparse_bf16': 58, 'sparse_nvfp4': 51}",[],,8,128
policy_030,30,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_030_random.json,random_mixed,0.98500000,4925,75,165,0,"{'dense_bf16': 59, 'dense_nvfp4': 57, 'sparse_bf16': 52, 'sparse_nvfp4': 56}",[],,8,128
policy_024,24,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_024_sparse_nvfp4_r1.json,sparse_nvfp4_ratio_1,0.76600000,3830,1170,224,0,{'sparse_nvfp4': 224},[],,8,128
policy_034,34,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_034_random.json,random_mixed,0.97520000,4876,124,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 57, 'sparse_bf16': 56, 'sparse_nvfp4': 60}",[],,8,128
policy_035,35,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_035_random.json,random_mixed,0.98680000,4934,66,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 71, 'sparse_bf16': 50, 'sparse_nvfp4': 52}",[],,8,128
policy_036,36,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_036_random.json,random_mixed,0.97440000,4872,128,169,0,"{'dense_bf16': 55, 'dense_nvfp4': 54, 'sparse_bf16': 57, 'sparse_nvfp4': 58}",[],,8,128
policy_031,31,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_031_random.json,random_mixed,0.97340000,4867,133,172,0,"{'dense_bf16': 52, 'dense_nvfp4': 55, 'sparse_bf16': 53, 'sparse_nvfp4': 64}",[],,8,128
policy_037,37,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_037_random.json,random_mixed,0.98140000,4907,93,160,0,"{'dense_bf16': 64, 'dense_nvfp4': 51, 'sparse_bf16': 55, 'sparse_nvfp4': 54}",[],,8,128
policy_041,41,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_041_random.json,random_mixed,0.96580000,4829,171,164,0,"{'dense_bf16': 60, 'dense_nvfp4': 46, 'sparse_bf16': 68, 'sparse_nvfp4': 50}",[],,8,128
policy_032,32,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_032_random.json,random_mixed,0.95760000,4788,212,168,0,"{'dense_bf16': 56, 'dense_nvfp4': 57, 'sparse_bf16': 46, 'sparse_nvfp4': 65}",[],,8,128
policy_038,38,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_038_random.json,random_mixed,0.98600000,4930,70,175,0,"{'dense_bf16': 49, 'dense_nvfp4': 54, 'sparse_bf16': 58, 'sparse_nvfp4': 63}",[],,8,128
policy_043,43,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_043_random.json,random_mixed,0.97780000,4889,111,163,0,"{'dense_bf16': 61, 'dense_nvfp4': 60, 'sparse_bf16': 53, 'sparse_nvfp4': 50}",[],,8,128
policy_042,42,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_042_random.json,random_mixed,0.97480000,4874,126,176,0,"{'dense_bf16': 48, 'dense_nvfp4': 57, 'sparse_bf16': 66, 'sparse_nvfp4': 53}",[],,8,128
