key,policy_index,batch_size_for_policy,point_index,policy_json,label,nll,nll_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_nll,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples,loss_definition
policy_042,42,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_042_random.json,random_mixed,0.7350933206,0.1109587288,2.0856766200,721498,530368.360617,0.6241345918,176,0,"{'dense_bf16': 48, 'dense_nvfp4': 57, 'sparse_bf16': 66, 'sparse_nvfp4': 53}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_050,50,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_050_random.json,random_mixed,0.7293564464,0.1052218546,2.0737456117,721498,526229.217383,0.6241345918,160,0,"{'dense_bf16': 64, 'dense_nvfp4': 59, 'sparse_bf16': 55, 'sparse_nvfp4': 46}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_026,26,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_026_random.json,random_mixed,0.7282017540,0.1040671622,2.0713524554,721498,525396.109135,0.6241345918,162,0,"{'dense_bf16': 62, 'dense_nvfp4': 48, 'sparse_bf16': 55, 'sparse_nvfp4': 59}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_058,58,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_058_round_robin_r0.5.json,round_robin_0.5,0.6785185936,0.0543840018,1.9709557819,721498,489549.808227,0.6241345918,113,0,"{'dense_bf16': 111, 'dense_nvfp4': 38, 'sparse_bf16': 38, 'sparse_nvfp4': 37}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_002,2,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_002_dense_nvfp4_r0.05.json,dense_nvfp4_ratio_0.05,0.6243722598,0.0002376680,1.8670735523,721498,450483.336670,0.6241345918,11,0,"{'dense_bf16': 213, 'dense_nvfp4': 11}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_010,10,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_010_sparse_bf16_r0.05.json,sparse_bf16_ratio_0.05,0.6284000232,0.0042654314,1.8746088480,721498,453389.359968,0.6241345918,11,0,"{'dense_bf16': 213, 'sparse_bf16': 11}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_018,18,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_018_sparse_nvfp4_r0.05.json,sparse_nvfp4_ratio_0.05,0.6235051993,-0.0006293925,1.8654553883,721498,449857.754317,0.6241345918,11,0,"{'dense_bf16': 213, 'sparse_nvfp4': 11}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_035,35,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_035_random.json,random_mixed,0.7553940369,0.1312594451,2.1284500460,721498,545015.286834,0.6241345918,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 71, 'sparse_bf16': 50, 'sparse_nvfp4': 52}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_051,51,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_051_random.json,random_mixed,0.7774838603,0.1533492685,2.1759902761,721498,560953.050224,0.6241345918,175,0,"{'dense_bf16': 49, 'dense_nvfp4': 48, 'sparse_bf16': 67, 'sparse_nvfp4': 60}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_043,43,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_043_random.json,random_mixed,0.6932008147,0.0690662229,2.0001072712,721498,500143.001421,0.6241345918,163,0,"{'dense_bf16': 61, 'dense_nvfp4': 60, 'sparse_bf16': 53, 'sparse_nvfp4': 50}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_027,27,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_027_random.json,random_mixed,0.7367376539,0.1126030621,2.0891089887,721498,531554.743805,0.6241345918,164,0,"{'dense_bf16': 60, 'dense_nvfp4': 49, 'sparse_bf16': 56, 'sparse_nvfp4': 59}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_059,59,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_059_round_robin_r0.75.json,round_robin_0.75,0.7280949141,0.1039603223,2.0711311640,721498,525319.024313,0.6241345918,169,0,"{'dense_bf16': 55, 'dense_nvfp4': 57, 'sparse_bf16': 56, 'sparse_nvfp4': 56}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_003,3,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_003_dense_nvfp4_r0.1.json,dense_nvfp4_ratio_0.1,0.6257782598,0.0016436680,1.8697005042,721498,451497.762919,0.6241345918,22,0,"{'dense_bf16': 202, 'dense_nvfp4': 22}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_036,36,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_036_random.json,random_mixed,0.7552826238,0.1311480320,2.1282129219,721498,544934.902486,0.6241345918,169,0,"{'dense_bf16': 55, 'dense_nvfp4': 54, 'sparse_bf16': 57, 'sparse_nvfp4': 58}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_044,44,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_044_random.json,random_mixed,0.7438586138,0.1197240220,2.1040385434,721498,536692.502165,0.6241345918,171,0,"{'dense_bf16': 53, 'dense_nvfp4': 55, 'sparse_bf16': 59, 'sparse_nvfp4': 57}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_011,11,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_011_sparse_bf16_r0.1.json,sparse_bf16_ratio_0.1,0.6284289059,0.0042943141,1.8746629925,721498,453410.198758,0.6241345918,22,0,"{'dense_bf16': 202, 'sparse_bf16': 22}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_052,52,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_052_random.json,random_mixed,0.7330766061,0.1089420143,2.0814746442,721498,528913.305134,0.6241345918,166,0,"{'dense_bf16': 58, 'dense_nvfp4': 60, 'sparse_bf16': 53, 'sparse_nvfp4': 53}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_019,19,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_019_sparse_nvfp4_r0.1.json,sparse_nvfp4_ratio_0.1,0.6409799153,0.0168453235,1.8983401808,721498,462465.726953,0.6241345918,22,0,"{'dense_bf16': 202, 'sparse_nvfp4': 22}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_028,28,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_028_random.json,random_mixed,0.7477682789,0.1236336871,2.1122807310,721498,539513.317668,0.6241345918,174,0,"{'dense_bf16': 50, 'dense_nvfp4': 62, 'sparse_bf16': 57, 'sparse_nvfp4': 55}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_060,60,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_060_round_robin_r1.json,round_robin_1,0.8283639806,0.2042293888,2.2895698937,721498,597662.955250,0.6241345918,224,0,"{'dense_nvfp4': 75, 'sparse_bf16': 75, 'sparse_nvfp4': 74}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_037,37,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_037_random.json,random_mixed,0.7262756186,0.1021410268,2.0673665900,721498,524006.406303,0.6241345918,160,0,"{'dense_bf16': 64, 'dense_nvfp4': 51, 'sparse_bf16': 55, 'sparse_nvfp4': 54}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_053,53,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_053_random.json,random_mixed,0.7078482388,0.0837136470,2.0296193007,721498,510711.088632,0.6241345918,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 61, 'sparse_bf16': 62, 'sparse_nvfp4': 50}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_045,45,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_045_random.json,random_mixed,0.7133402729,0.0892056811,2.0407967043,721498,514673.580233,0.6241345918,160,0,"{'dense_bf16': 64, 'dense_nvfp4': 54, 'sparse_bf16': 54, 'sparse_nvfp4': 52}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_029,29,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_029_random.json,random_mixed,0.7580995733,0.1339649815,2.1342164421,721498,546967.325928,0.6241345918,167,0,"{'dense_bf16': 57, 'dense_nvfp4': 50, 'sparse_bf16': 62, 'sparse_nvfp4': 55}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
