workload,batch_size,input_tokens,output_tokens,prefill_ms,decode_avg_ms,e2e_ms,prefill_all_linear_pct,prefill_language_linear_pct,prefill_vision_linear_pct,prefill_projector_linear_pct,decode_all_linear_pct,decode_language_linear_pct,decode_vision_linear_pct,decode_projector_linear_pct,all_linear_count,language_linear_count,vision_linear_count,projector_linear_count
normal_01,1,16384,32,3013.597876,58.985318,4901.128055,30.7,29.9,0.2,0.0,15.9,15.7,0.0,0.0,371,224,144,2
normal_02,1,16384,256,3034.561938,59.367339,18232.600803,30.7,29.9,0.2,0.0,15.8,15.6,0.0,0.0,371,224,144,2
prefill_b16_i1024,16,1024,0,1294.148950,0.000000,1294.148950,73.3,69.7,2.1,0.1,0.0,0.0,0.0,0.0,371,224,144,2
prefill_b1_i1024,1,1024,0,106.278381,0.000000,106.278381,74.1,65.0,7.4,0.2,0.0,0.0,0.0,0.0,371,224,144,2
prefill_b4_i1024,4,1024,0,352.898828,0.000000,352.898828,79.4,74.1,3.7,0.2,0.0,0.0,0.0,0.0,371,224,144,2
prefill_b4_i4096,4,4096,0,1588.253638,0.000000,1588.253638,58.0,56.2,0.7,0.0,0.0,0.0,0.0,0.0,371,224,144,2
