module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.0.mlp.gate_proj,0,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.04155258994765138
model.layers.1.mlp.gate_proj,1,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.04324110009889653
model.layers.5.mlp.gate_proj,5,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.05959060333097865
model.layers.6.mlp.gate_proj,6,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.054255343254532296
model.layers.7.mlp.gate_proj,7,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.05326863751877816
model.layers.8.mlp.gate_proj,8,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.04834281622402615
model.layers.9.mlp.gate_proj,9,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.04758673289697949
model.layers.10.mlp.gate_proj,10,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.046507742359480776
model.layers.11.mlp.gate_proj,11,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.046612268663719356
model.layers.12.mlp.gate_proj,12,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.04899437838705202
model.layers.13.mlp.gate_proj,13,gate_proj,mlp,dense_bf16,dense_nvfp4,-3.308211159706116,0.04733137026974737
model.layers.19.mlp.up_proj,19,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.09692951361232262
model.layers.23.mlp.up_proj,23,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.10409841460282396
model.layers.24.mlp.up_proj,24,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.12251658827880453
model.layers.25.mlp.up_proj,25,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.12405339267900665
model.layers.26.mlp.up_proj,26,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.1186584200437767
model.layers.27.mlp.up_proj,27,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.10956113729976683
model.layers.28.mlp.up_proj,28,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.09455087625248071
model.layers.29.mlp.up_proj,29,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.07846056908514107
model.layers.30.mlp.up_proj,30,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.05061944227195616
model.layers.31.mlp.up_proj,31,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.030025363548970084
