module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.0.self_attn.q_proj,0,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.00013306167377277677
model.layers.0.self_attn.v_proj,0,v_proj,attention,dense_bf16,sparse_bf16,-1.1221567869186402,0.05529285378218662
model.layers.0.self_attn.o_proj,0,o_proj,attention,dense_bf16,sparse_bf16,-1.1236383914947512,0.02868447297177316
model.layers.0.mlp.up_proj,0,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.056649417673509755
model.layers.0.mlp.down_proj,0,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.17358536986177073
model.layers.1.self_attn.q_proj,1,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.006203345842331108
model.layers.1.mlp.up_proj,1,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.07723092812965181
model.layers.1.mlp.down_proj,1,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.00013065097298794692
model.layers.2.self_attn.q_proj,2,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.038265322702137027
model.layers.2.mlp.up_proj,2,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.09856536531803738
model.layers.2.mlp.down_proj,2,down_proj,mlp,dense_bf16,dense_nvfp4,-1.282329654693604,0.10898226746956509
model.layers.3.self_attn.q_proj,3,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.1284234661193554
model.layers.3.self_attn.k_proj,3,k_proj,attention,dense_bf16,sparse_bf16,-1.1184288024902345,0.09821705771273606
model.layers.3.mlp.up_proj,3,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.11278897182963867
model.layers.3.mlp.down_proj,3,down_proj,mlp,dense_bf16,dense_nvfp4,-1.282329654693604,0.11470216294820376
model.layers.4.self_attn.q_proj,4,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.1345407211116391
model.layers.4.mlp.up_proj,4,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.10822036802679082
model.layers.4.mlp.down_proj,4,down_proj,mlp,dense_bf16,dense_nvfp4,-1.282329654693604,0.1034995980196578
model.layers.5.self_attn.q_proj,5,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.15731457133160537
model.layers.5.mlp.up_proj,5,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.10590847199958228
model.layers.5.mlp.down_proj,5,down_proj,mlp,dense_bf16,dense_nvfp4,-1.282329654693604,0.12105174900057407
model.layers.6.self_attn.k_proj,6,k_proj,attention,dense_bf16,sparse_bf16,-1.1184288024902345,0.1638864298280838
model.layers.6.mlp.up_proj,6,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.10564888491284133
model.layers.6.mlp.down_proj,6,down_proj,mlp,dense_bf16,dense_nvfp4,-1.282329654693604,0.12298200363300942
model.layers.7.mlp.up_proj,7,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.10371021152041374
model.layers.7.mlp.down_proj,7,down_proj,mlp,dense_bf16,dense_nvfp4,-1.282329654693604,0.12540010338982205
model.layers.8.mlp.up_proj,8,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.08821979126557734
model.layers.8.mlp.down_proj,8,down_proj,mlp,dense_bf16,dense_nvfp4,-1.282329654693604,0.1150896015401307
model.layers.9.mlp.up_proj,9,up_proj,mlp,dense_bf16,dense_nvfp4,-3.2962815761566158,0.08581906736925388
