module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.0.mlp.gate_proj,0,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.5405628737885194
model.layers.0.mlp.up_proj,0,up_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4561727762222292,0.7490255282963793
model.layers.1.mlp.gate_proj,1,gate_proj,mlp,dense_nvfp4,sparse_nvfp4,-0.4573984384536742,0.6879766178962055
model.layers.2.self_attn.o_proj,2,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,0.7078031270598842
model.layers.3.self_attn.v_proj,3,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,0.7787367663092475
model.layers.4.self_attn.v_proj,4,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,0.8453246718137633
model.layers.4.self_attn.o_proj,4,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,0.7665511292460023
model.layers.5.self_attn.v_proj,5,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,0.9420353734313122
model.layers.5.self_attn.o_proj,5,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,0.8319321487808562
model.layers.5.mlp.down_proj,5,down_proj,mlp,dense_nvfp4,sparse_bf16,-1.8733407735824583,1.4318785790569477
model.layers.6.self_attn.v_proj,6,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,0.9121101070388534
model.layers.6.self_attn.o_proj,6,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,0.8946225824994181
model.layers.6.mlp.down_proj,6,down_proj,mlp,dense_nvfp4,sparse_bf16,-1.8733407735824583,1.4047019011219124
model.layers.7.self_attn.v_proj,7,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,0.9504800585692907
model.layers.7.self_attn.o_proj,7,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.0305218095357371
model.layers.7.mlp.down_proj,7,down_proj,mlp,dense_nvfp4,sparse_bf16,-1.8733407735824583,1.44692570359822
model.layers.8.self_attn.v_proj,8,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,0.8244315104307882
model.layers.8.self_attn.o_proj,8,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.0170593387095201
model.layers.9.self_attn.v_proj,9,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,0.8734430765305505
model.layers.9.self_attn.o_proj,9,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.1504902523144718
model.layers.10.self_attn.v_proj,10,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,0.8644906756130842
model.layers.10.self_attn.o_proj,10,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.1753476640520628
model.layers.11.self_attn.v_proj,11,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,0.9280628148611021
model.layers.11.self_attn.o_proj,11,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.2248967342008512
model.layers.12.self_attn.v_proj,12,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,0.9572753311048311
model.layers.12.self_attn.o_proj,12,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.238422486228451
model.layers.12.mlp.down_proj,12,down_proj,mlp,dense_nvfp4,sparse_bf16,-1.8733407735824583,1.4020710122204678
model.layers.13.self_attn.v_proj,13,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.0696392208426682
model.layers.13.self_attn.o_proj,13,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.1448726957385462
model.layers.14.self_attn.v_proj,14,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.0582999808656826
model.layers.14.self_attn.o_proj,14,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.3158088317712955
model.layers.15.self_attn.v_proj,15,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.0276663015458827
model.layers.15.self_attn.o_proj,15,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.206048763903086
model.layers.16.self_attn.v_proj,16,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.1318762215474925
model.layers.16.self_attn.o_proj,16,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.05075979334843
model.layers.17.self_attn.v_proj,17,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.070593174536046
model.layers.17.self_attn.o_proj,17,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.131459160687589
model.layers.18.self_attn.v_proj,18,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.1308205721567421
model.layers.18.self_attn.o_proj,18,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.1868646497150332
model.layers.19.self_attn.v_proj,19,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.1283059013491237
model.layers.19.self_attn.o_proj,19,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.2067742566456319
model.layers.20.self_attn.v_proj,20,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.2023484472729178
model.layers.20.self_attn.o_proj,20,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,0.9183712552385361
model.layers.21.self_attn.v_proj,21,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.241447729801246
model.layers.21.self_attn.o_proj,21,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.2233489740680341
model.layers.22.self_attn.v_proj,22,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.1847416257371375
model.layers.22.self_attn.o_proj,22,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,0.9867606664820743
model.layers.23.self_attn.v_proj,23,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.239405385854209
model.layers.24.self_attn.v_proj,24,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.4662190031357045
model.layers.24.self_attn.o_proj,24,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.1414132399470283
model.layers.24.mlp.down_proj,24,down_proj,mlp,dense_nvfp4,sparse_bf16,-1.8733407735824583,1.716580853605452
model.layers.25.self_attn.v_proj,25,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.5118246205392039
model.layers.25.self_attn.o_proj,25,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,0.8622073113113263
model.layers.25.mlp.down_proj,25,down_proj,mlp,dense_nvfp4,sparse_bf16,-1.8733407735824583,1.7006186254132984
model.layers.26.self_attn.v_proj,26,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.5558411906671468
model.layers.26.self_attn.o_proj,26,o_proj,attention,dense_nvfp4,sparse_bf16,-0.6965344071388244,1.0409178562080523
model.layers.26.mlp.down_proj,26,down_proj,mlp,dense_nvfp4,sparse_bf16,-1.8733407735824583,1.7324174288866354
model.layers.27.self_attn.v_proj,27,v_proj,attention,dense_nvfp4,sparse_bf16,-0.6998079895973206,1.51660066252263
model.layers.27.mlp.down_proj,27,down_proj,mlp,dense_nvfp4,sparse_bf16,-1.8733407735824583,1.6660394549319808
