policy_id,scenario,sample_count,dense_prefill_nll,dense_decode_nll,prefill_nll,decode_nll,delta_prefill_nll,delta_decode_nll,target_delta_nll,prefill_tokens,decode_tokens
p00,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9183566811644002,0.0,0.0,0.0,204700,8100
p01,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.042537554958476,1.9444703598964361,0.026002029694751627,0.02611367873203596,2.1150963282576285,204700,8100
p02,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.387380443846941,2.2776693179283614,0.37084491858321655,0.3593126367639612,29.115855859700112,204700,8100
p03,prefill_decode,100,2.0165355252637243,1.9183566811644002,3.0233585949903823,1.9444703598964361,1.006823069726658,0.02611367873203596,3.095917368289535,204700,8100
p04,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.042537554958476,1.9444703598964361,0.026002029694751627,0.02611367873203596,2.1150963282576285,204700,8100
p05,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.017048903979146,1.917423390518,0.0005133787154218972,-0.0009332906464001312,-0.0741498729965886,204700,8100
p06,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.016886913633137,1.9213232139304832,0.0003513883694128417,0.002966532766083052,0.237674009656057,204700,8100
p07,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0601777575129,1.9196952414806978,0.04364223224917563,0.0013385603162976434,0.1507270575529871,204700,8100
p08,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0251465475867887,1.9200904186861014,0.008611022323064432,0.0017337375217012507,0.1473100240591645,204700,8100
p09,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.015939597915776,1.916414205292125,-0.0005959273479483329,-0.001942475872275251,-0.15599399712996842,204700,8100
p10,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0058122774467972,1.9075309527361834,-0.010723247816927017,-0.010825728428216719,-0.8767815220742645,204700,8100
p11,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0823725793462993,1.9219463743986906,0.06583705408257501,0.003589693234290481,0.3530125128258135,204700,8100
p12,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0178597859958933,1.9187215065661771,0.0013242607321690691,0.0003648254017769581,0.030510292874325717,204700,8100
p13,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0181950696713176,1.9198756926736713,0.0016595444075933052,0.0015190115092711398,0.12318046514928449,204700,8100
p14,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0144864340345627,1.9176948500268254,-0.002049091229161526,-0.0006618311375747865,-0.05499558223514445,204700,8100
p15,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.073215577722353,1.9195183666841484,0.056680052458628616,0.0011616855197482678,0.14961489403849004,204700,8100
p16,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0190135049004643,1.920222984596535,0.002477979636740013,0.001866303432134897,0.15178225420753177,204700,8100
p17,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0200585078773816,1.9229919574878833,0.003522982613657355,0.004635276323483151,0.3743450884923094,204700,8100
p18,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0135372696705547,1.9177617852481794,-0.0029982555931695742,-0.0005948959162207501,-0.05058992889082958,204700,8100
p19,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.1614250716082224,1.9220272120723019,0.14488954634449813,0.0036705309079017034,0.4385320189766344,204700,8100
p20,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.016309790003282,1.919666536119249,-0.00022573526044222803,0.0013098549548489213,0.10456266112747148,204700,8100
p21,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.917423390518,0.0,-0.0009332906464001312,-0.07466325171201049,204700,8100
p22,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9213232139304832,0.0,0.002966532766083052,0.23732262128664416,204700,8100
p23,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9196952414806978,0.0,0.0013385603162976434,0.10708482530381147,204700,8100
p24,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9200904186861014,0.0,0.0017337375217012507,0.13869900173610006,204700,8100
p25,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.916414205292125,0.0,-0.001942475872275251,-0.1553980697820201,204700,8100
p26,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9075309527361834,0.0,-0.010825728428216719,-0.8660582742573375,204700,8100
p27,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9219463743986906,0.0,0.003589693234290481,0.28717545874323847,204700,8100
p28,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9187215065661771,0.0,0.0003648254017769581,0.029186032142156648,204700,8100
p29,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9198756926736713,0.0,0.0015190115092711398,0.12152092074169119,204700,8100
p30,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9176948500268254,0.0,-0.0006618311375747865,-0.05294649100598292,204700,8100
p31,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9195183666841484,0.0,0.0011616855197482678,0.09293484157986143,204700,8100
p32,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.920222984596535,0.0,0.001866303432134897,0.14930427457079176,204700,8100
p33,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9229919574878833,0.0,0.004635276323483151,0.37082210587865205,204700,8100
p34,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9177617852481794,0.0,-0.0005948959162207501,-0.04759167329766001,204700,8100
p35,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.9220272120723019,0.0,0.0036705309079017034,0.2936424726321363,204700,8100
p36,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.0165355252637243,1.919666536119249,0.0,0.0013098549548489213,0.10478839638791371,204700,8100
p37,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.1817886825136634,1.973676900981385,0.16525315724993916,0.05532021981698487,4.590870742608729,204700,8100
p38,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.178651724751542,1.983438372199918,0.16211619948781752,0.06508169103551786,5.368651482329247,204700,8100
p39,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.221117913600696,1.9953395636287736,0.20458238833697173,0.07698288246437346,6.363212985486848,204700,8100
p40,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.2111017218414144,1.9709539031982422,0.19456619657769014,0.052597222033841984,4.402343959285049,204700,8100
p41,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.200615332174371,1.9740949767312885,0.18407980691064685,0.05573829556688836,4.643143452261716,204700,8100
p42,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.1817886825136634,1.973676900981385,0.16525315724993916,0.05532021981698487,4.590870742608729,204700,8100
p43,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.178651724751542,1.983438372199918,0.16211619948781752,0.06508169103551786,5.368651482329247,204700,8100
p44,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.221117913600696,1.9953395636287736,0.20458238833697173,0.07698288246437346,6.363212985486848,204700,8100
p45,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.2111017218414144,1.9709539031982422,0.19456619657769014,0.052597222033841984,4.402343959285049,204700,8100
p46,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.200615332174371,1.9740949767312885,0.18407980691064685,0.05573829556688836,4.643143452261716,204700,8100
p47,prefill_decode,100,2.0165355252637243,1.9183566811644002,2.1817886825136634,1.973676900981385,0.16525315724993916,0.05532021981698487,4.590870742608729,204700,8100
