n,mean_acc,std_acc,min_acc,max_acc,mean_abs_err,max_abs_err
25,0.7840000000000001,0.07050295502081216,0.64,0.96,0.06018666666666667,0.19140000000000001
50,0.7706666666666667,0.04864383025854586,0.66,0.86,0.039613333333333355,0.10859999999999992
75,0.7755555555555556,0.04089130427648522,0.6933333333333334,0.8666666666666667,0.03307555555555555,0.09806666666666675
100,0.7743333333333333,0.04071718174049978,0.65,0.85,0.031093333333333344,0.11859999999999993
150,0.7753333333333334,0.03351727028574086,0.6866666666666666,0.84,0.02739111111111112,0.0819333333333333
200,0.7731666666666666,0.027673192001566364,0.695,0.815,0.022540000000000036,0.0736
300,0.7721111111111113,0.023293351989646747,0.7066666666666667,0.8133333333333334,0.01683555555555555,0.061933333333333285
500,0.7707333333333334,0.01705272868357308,0.72,0.808,0.01292000000000002,0.04859999999999998
750,0.7716888888888888,0.013574194835499402,0.7306666666666667,0.8,0.010688888888888907,0.03793333333333326
1000,0.7711333333333333,0.011406820571726189,0.744,0.792,0.009826666666666702,0.024599999999999955
1500,0.7696444444444446,0.006863177826382119,0.7553333333333333,0.7833333333333333,0.005831111111111112,0.014733333333333376
2000,0.7689333333333332,0.007585878693701583,0.749,0.786,0.005786666666666677,0.01959999999999995
3000,0.7686777777777779,0.0054680779569433605,0.7553333333333333,0.78,0.00414,0.013266666666666649
4000,0.76885,0.0023810011899759015,0.76525,0.774,0.001773333333333338,0.005400000000000071
