label,family,avg_nll,actual_delta_nll,median_ms,measured_speedup_vs_dense,cnn_dm_1000_rougeL_percent,cnn_dm_1000_bert_score_percent,cnn_dm_1000_sacre_bleu,dsum_rougeL_percent,dsum_bert_score_percent,dsum_sacre_bleu,IWSLT_rougeL_percent,IWSLT_bert_score_percent,IWSLT_sacre_bleu
uniform_p00,uniform,1.918063841767615,0.0,1722.9634828399867,1.0,23.632380940052734,87.40853267908096,,21.576239771523113,87.65429679950078,,46.880527495464825,,19.37091052432153
uniform_p01,uniform,1.9591804192459554,0.04111657747834041,2147.7300790138543,0.802225335332221,23.66477476632231,87.33423760533333,,21.588905293419423,87.61266505320867,,43.8335883098167,,17.06921732907014
uniform_p02,uniform,2.254520793661442,0.3364569518938272,1465.6129009090364,1.1755924649485074,15.336777762014437,84.93191623687744,,13.521497151742484,74.02680846452712,,28.308830792685296,,8.158232709302803
uniform_p03,uniform,2.2524061484654188,0.33434230669780374,2099.8367918655276,0.8205225708562232,18.475987272966226,85.43589984178543,,13.928961070106578,84.4117429335912,,13.781963456058724,,3.102264916191789
uniform_p04,uniform,1.9384761687829064,0.020412327015291387,1392.1661130152643,1.2376134332908413,23.81328775732705,87.40523948073388,,21.86892664582608,87.54396047989528,,46.99967739113602,,19.02617598294962
point_000,ours,1.918063841767615,0.0,1729.9118828959763,0.9959833791971198,,,,,,,,,
point_001,ours,1.9246949084587703,0.0066310666911553184,1619.3566450383514,1.063980246796827,,,,,,,,,
point_002,ours,1.9285058855059003,0.010442043738285278,1598.4438438899815,1.077900540219776,,,,,,,,,
point_003,ours,1.9182155905149267,0.0001517487473117196,1591.1917539779097,1.0828132301041993,,,,,,,,,
point_004,ours,1.923083370684859,0.005019528917243887,1582.0959541015327,1.0890385493833414,,,,,,,,,
point_005,ours,1.9227623694408458,0.004698527673230757,1572.8694871068,1.0954268596113945,,,,,,,,,
point_006,ours,1.9306437986153773,0.012579956847762253,1552.416604012251,1.1098589633652165,23.803369729403485,87.4038775742054,,20.617229729567324,87.13071567614872,,34.83332911492112,,16.45917767688151
point_007,ours,1.9346343644601416,0.016570522692526568,1533.6710640694946,1.1234243921041434,,,,,,,,,
point_008,ours,1.9344128591983725,0.01634901743075745,1516.6678668465465,1.1360189798326576,,,,,,,,,
point_009,ours,1.9367713363861085,0.018707494618493525,1484.2726751230657,1.1608133139668089,,,,,,,,,
point_010,ours,1.9383380641376482,0.02027422237003318,1441.800706088543,1.1950080725887626,,,,,,,,,
point_011,ours,1.9408843505892615,0.022820508821646435,1387.8501649014652,1.2414621739532767,,,,,,,,,
point_012,ours,1.9421730028158708,0.02410916104825578,1335.033489856869,1.2905769749826337,,,,,,,,,
point_013,ours,1.9409971234753112,0.02293328170769615,1289.5797120872885,1.3360659032478355,,,,,,,,,
point_014,ours,1.9379032370823037,0.0198393953146887,1229.6734279952943,1.4011553341027225,22.607442847428374,86.8671705186367,,19.90275622168349,87.02073616981507,,41.18876835414901,,14.88756570317562
point_015,ours,1.9674398676658766,0.04937602589826162,1184.8611789755523,1.4541479739674525,15.094046461143487,84.04068692326547,,15.021453256035661,85.31471952199936,,41.37135799997931,,16.455086993250426
point_016,ours,2.01828662459011,0.10022278282249508,1159.145527984947,1.4864082561187792,,,,,,,,,
point_017,ours,2.0287218676611247,0.1106580258935097,1121.681874152273,1.5360536017773674,15.779742530981478,84.4234530389309,,13.556777228406238,84.43492010434468,,21.653653399343618,,6.311952349429131
point_018,ours,2.158332932557369,0.24026909078975378,1101.9213288091123,1.5635993584969063,20.990977164709815,86.20291316509247,,13.793033388467999,84.423018125693,,13.545901615919256,,2.5619859036455184
