name,backend,n,k,predicted_latency_ms,reason
backbone.layer.38.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.38.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.38.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.38.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.38.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.39.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.39.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.39.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.39.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.39.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.39.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.39.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
