method,model_key,model_path,batch,input_seq,output_seq,max_model_len,total_prompt_tokens,total_tokens,iter,elapsed_ms
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,128,16,144,4096,4608,2,553.5979475826025
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,128,16,144,8192,9216,0,831.9561686366796
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,128,16,144,8192,9216,1,829.9360908567905
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,128,16,144,8192,9216,2,830.3180560469627
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,128,16,144,16384,18432,0,1500.0160560011864
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,128,16,144,16384,18432,1,1498.3785096555948
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,128,16,144,16384,18432,2,1502.964461222291
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,128,64,192,128,192,0,725.5874648690224
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,128,64,192,128,192,1,722.470261156559
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,128,64,192,128,192,2,725.5707699805498
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,128,64,192,256,384,0,770.8697188645601
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,128,64,192,256,384,1,812.629796564579
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,128,64,192,256,384,2,772.873854264617
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,128,64,192,512,768,0,821.4999008923769
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,128,64,192,512,768,1,808.3134330809116
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,128,64,192,512,768,2,821.2631735950708
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,128,64,192,1024,1536,0,878.8470923900604
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,128,64,192,1024,1536,1,878.641165792942
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,128,64,192,1024,1536,2,921.543549746275
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,128,64,192,2048,3072,0,993.3245312422514
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,128,64,192,2048,3072,1,1020.9585502743721
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,128,64,192,2048,3072,2,964.9348836392164
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,128,64,192,4096,6144,0,1370.1383620500565
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,128,64,192,4096,6144,1,1374.5842725038528
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,128,64,192,4096,6144,2,1379.2602196335793
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,128,64,192,8192,12288,0,1774.289831519127
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,128,64,192,8192,12288,1,1769.5824820548296
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,128,64,192,8192,12288,2,1769.811576232314
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,128,64,192,16384,24576,0,2940.2210228145123
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,128,64,192,16384,24576,1,2942.096943035722
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,128,64,192,16384,24576,2,2910.2218206971884
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,128,128,256,128,256,0,1449.0959215909243
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,128,128,256,128,256,1,1444.6968920528889
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,128,128,256,128,256,2,1460.1742532104254
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,128,128,256,256,512,0,1508.4550641477108
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,128,128,256,256,512,1,1512.9101760685444
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,128,128,256,256,512,2,1510.6582697480917
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,128,128,256,512,1024,0,1610.0748013705015
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,128,128,256,512,1024,1,1605.2066031843424
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,128,128,256,512,1024,2,1601.3732720166445
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,128,128,256,1024,2048,0,1679.9192354083061
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,128,128,256,1024,2048,1,1631.1154402792454
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,128,128,256,1024,2048,2,1633.9670699089766
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,128,128,256,2048,4096,0,1797.9986108839512
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,128,128,256,2048,4096,1,1799.9573592096567
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,128,128,256,2048,4096,2,1795.8842180669308
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,128,128,256,4096,8192,0,2445.172194391489
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,128,128,256,4096,8192,1,2439.195852726698
