timestamp,model,head,method,hybrid_scheme,task,speed_scope,runtime_dtype,device,batch_size,input_c,input_h,input_w,warmup,iters,hidden_size,num_register_tokens,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,images_per_sec,backbone_path,head_path,torch_version,cuda_version,kernel_backend,sparse_nvfp4_module_count,sparse_bf16_module_count,sparse_pattern,sparse_nvfp4_prune_on_convert,sparse_bf16_prune_on_convert,sparse_nvfp4_token_pad_multiple,sparse_bf16_token_pad_multiple,replaced_linear_count,skipped_linear_count
2026-05-27T03:48:16,facebook/dinov3-vit7b16-pretrain-lvd1689m,dinov3_vit7b16_imagenet1k_linear_head,hybrid_cutlass,b16_manual,forward_speed,random_input_classifier_forward_only,bfloat16,NVIDIA GeForce RTX 5090,16,3,256,256,5,10,4096,4,181.023521,180.909309,181.093274,180.809601,182.141479,88.386,/data/home/scxj523/run/wja/data/models/facebook/dinov3-vit7b16-pretrain-lvd1689m,/data/home/scxj523/run/wja/data/models/facebook/dinov3_vit7b16_imagenet1k_linear_head/dinov3_vit7b16_imagenet1k_linear_head-90d8ed92.pth,2.9.0+cu128,12.8,cutlass_hybrid_sparse_nvfp4_sparse_bf16,240,40,pairwise_4to8_and_2to4,True,True,32,8,280,0
2026-05-27T03:49:16,facebook/dinov3-vit7b16-pretrain-lvd1689m,dinov3_vit7b16_imagenet1k_linear_head,hybrid_cutlass,b32_manual,forward_speed,random_input_classifier_forward_only,bfloat16,NVIDIA GeForce RTX 5090,32,3,256,256,5,10,4096,4,370.534180,370.449158,370.871243,370.107483,371.322754,86.362,/data/home/scxj523/run/wja/data/models/facebook/dinov3-vit7b16-pretrain-lvd1689m,/data/home/scxj523/run/wja/data/models/facebook/dinov3_vit7b16_imagenet1k_linear_head/dinov3_vit7b16_imagenet1k_linear_head-90d8ed92.pth,2.9.0+cu128,12.8,cutlass_hybrid_sparse_nvfp4_sparse_bf16,80,200,pairwise_4to8_and_2to4,True,True,32,8,280,0
