layer,module_type,method,local_rel_mse,blocks,backend
10,v_proj,sparse_bf16,0.06031304077471716,16,canonical_phase_wrapper
10,o_proj,sparse_bf16,0.08373414763132167,16,canonical_phase_wrapper
10,gate_proj,sparse_bf16,0.0390247759341605,16,canonical_phase_wrapper
10,up_proj,sparse_bf16,0.06561310066062966,16,canonical_phase_wrapper
10,down_proj,sparse_bf16,0.08665284042029714,16,canonical_phase_wrapper
11,q_proj,sparse_bf16,0.018569366354263782,16,canonical_phase_wrapper
11,k_proj,sparse_bf16,0.012227828112106645,16,canonical_phase_wrapper
11,v_proj,sparse_bf16,0.06401054170842596,16,canonical_phase_wrapper
11,o_proj,sparse_bf16,0.08543404079942957,16,canonical_phase_wrapper
11,gate_proj,sparse_bf16,0.04128355981241189,16,canonical_phase_wrapper
11,up_proj,sparse_bf16,0.0705014286963488,16,canonical_phase_wrapper
11,down_proj,sparse_bf16,0.09076116077383128,16,canonical_phase_wrapper
12,q_proj,sparse_bf16,0.019819978542726352,16,canonical_phase_wrapper
12,k_proj,sparse_bf16,0.013510467222208836,16,canonical_phase_wrapper
12,v_proj,sparse_bf16,0.06681094480542292,16,canonical_phase_wrapper
12,o_proj,sparse_bf16,0.08755097699086922,16,canonical_phase_wrapper
12,gate_proj,sparse_bf16,0.043800664381370744,16,canonical_phase_wrapper
12,up_proj,sparse_bf16,0.07138273371848348,16,canonical_phase_wrapper
12,down_proj,sparse_bf16,0.09289030537349749,16,canonical_phase_wrapper
13,q_proj,sparse_bf16,0.020509563638636086,16,canonical_phase_wrapper
13,k_proj,sparse_bf16,0.014027223269360276,16,canonical_phase_wrapper
13,v_proj,sparse_bf16,0.074074096867179,16,canonical_phase_wrapper
13,o_proj,sparse_bf16,0.08301879315625307,16,canonical_phase_wrapper
13,gate_proj,sparse_bf16,0.04262914425657156,16,canonical_phase_wrapper
13,up_proj,sparse_bf16,0.06998791180469202,16,canonical_phase_wrapper
13,down_proj,sparse_bf16,0.09150201302198792,16,canonical_phase_wrapper
14,q_proj,sparse_bf16,0.020661147309023322,16,canonical_phase_wrapper
14,k_proj,sparse_bf16,0.013359605085101018,16,canonical_phase_wrapper
14,v_proj,sparse_bf16,0.07419647859667568,16,canonical_phase_wrapper
14,o_proj,sparse_bf16,0.09120160281685866,16,canonical_phase_wrapper
14,gate_proj,sparse_bf16,0.04430167920095017,16,canonical_phase_wrapper
14,up_proj,sparse_bf16,0.07188433249839023,16,canonical_phase_wrapper
14,down_proj,sparse_bf16,0.09391149617120412,16,canonical_phase_wrapper
15,q_proj,sparse_bf16,0.01877077839940316,16,canonical_phase_wrapper
15,k_proj,sparse_bf16,0.013251037516597564,16,canonical_phase_wrapper
15,v_proj,sparse_bf16,0.07254576313066897,16,canonical_phase_wrapper
15,o_proj,sparse_bf16,0.08172330991575505,16,canonical_phase_wrapper
15,gate_proj,sparse_bf16,0.04387921170608798,16,canonical_phase_wrapper
15,up_proj,sparse_bf16,0.06990842780114623,16,canonical_phase_wrapper
15,down_proj,sparse_bf16,0.09003021622649397,16,canonical_phase_wrapper
16,q_proj,sparse_bf16,0.01938032862965754,16,canonical_phase_wrapper
