variant,repeats,e2e_mean_ms,e2e_min_ms,e2e_max_ms,e2e_stdev_ms,prefill_mean_ms,decode_x_n_mean_ms,backend_counts
manual,3,4051.3493588765464,3713.234119415283,4394.6004638671875,340.7122050558061,2536.602294921875,1514.7470639546711,"{'marlin_nvfp4': 104, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 48}"
manual_down_kv_to_pred,3,4031.6597061157227,4024.5194053649902,4041.0555419921875,8.495677292946885,2526.53564453125,1505.1240615844727,"{'marlin_nvfp4': 56, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 64}"
manual_down_to_pred,3,4028.484406789144,4006.601821899414,4045.028854370117,19.76185691101602,2527.97021484375,1500.5141919453938,"{'marlin_nvfp4': 72, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 48}"
manual_kv_to_pred,3,4036.5611584981284,4006.2528762817383,4061.278720855713,27.93569408793225,2563.836669921875,1472.7244885762532,"{'marlin_nvfp4': 88, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 64}"
pred,3,4032.9040705362954,4018.7265701293945,4043.485050201416,12.765061886011944,2533.722412109375,1499.1816584269206,"{'marlin_nvfp4': 56, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 64}"
pred_down_kv_to_manual,3,4024.234743754069,4009.2530364990234,4045.904121398926,19.218980397436034,2560.284423828125,1463.950319925944,"{'marlin_nvfp4': 104, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 48}"
pred_down_to_manual,3,4038.541566212972,4008.5978088378906,4064.5527305603027,28.183989820139935,2568.7132161458335,1469.8283500671387,"{'marlin_nvfp4': 88, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 64}"
pred_kv_to_manual,3,4048.103374481201,4014.5322036743164,4114.239315032959,57.277615045265605,2556.9005533854165,1491.2028210957844,"{'marlin_nvfp4': 72, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 48}"
single_sparse_bf16,3,4337.964828491211,3650.72953414917,4681.633377075195,595.1632254541586,2508.58056640625,1829.384262084961,{'sparse_bf16': 248}
