point_index,samples,raw_linear_ms,formal_e2e_ms,monotone_fit_ms,loo_monotone_ms
0,10,2970.739106775233,4967.439909465611,5081.983536171417,5193.328009918332
1,3,2920.880135250093,5193.328009918332,5081.983536171417,5026.311299297959
2,3,2895.9506494875236,5085.182689130306,5081.983536171417,5025.126971071587
3,10,2871.0211637249536,4954.3281849473715,4969.8699824512005,5049.792950765954
4,3,2821.162192199814,4985.4117799550295,4969.8699824512005,4945.307760188977
5,3,2721.4442491495347,4927.266910672188,4927.266910672188,4884.648370742798
6,10,2571.867334574116,4756.815953180194,4756.815953180194,4696.767642882404
10,3,1543.2362903402104,3111.6386596113443,3111.6386596113443,3166.228289364323
11,10,1461.4649117420606,3039.7839760407805,3039.7839760407805,3111.6386596113443
