point,dataset,samples,e2e_median_ms,speedup_vs_dense,wikitext_delta_nll,rougeL_percent,bert_score_percent,sacre_bleu,empty_predictions
0,cnn_dm_1000,1000,5150.02822317183,1.0,0.0,23.61032474800552,87.18523597121238,,0
0,dsum,1500,5150.02822317183,1.0,0.0,21.598181660389766,87.15888999303182,,0
0,IWSLT,333,5150.02822317183,1.0,0.0,46.908911718967225,,19.411758651336964,0
1,cnn_dm_1000,1000,5087.917628698051,1.0122074685571654,0.12883947885615354,23.77054844867785,87.20547243952751,,0
1,dsum,1500,5087.917628698051,1.0122074685571654,0.12883947885615354,21.51506054624887,87.14711858828863,,0
1,IWSLT,333,5087.917628698051,1.0122074685571654,0.12883947885615354,47.01403235133006,,19.437368009710276,0
3,cnn_dm_1000,1000,4989.929265342653,1.0320844142904266,0.06690567741868181,23.776067154266176,87.19689587950707,,0
3,dsum,1500,4989.929265342653,1.0320844142904266,0.06690567741868181,21.38457601902527,87.14585256973902,,0
3,IWSLT,333,4989.929265342653,1.0320844142904266,0.06690567741868181,47.772834300740335,,20.23791657386653,0
4,cnn_dm_1000,1000,5064.934432506561,1.0168005710240078,0.067488943348192,23.88062743107757,87.21723417639733,,0
4,dsum,1500,5064.934432506561,1.0168005710240078,0.067488943348192,21.525319614043823,87.20220663547515,,0
4,IWSLT,333,5064.934432506561,1.0168005710240078,0.067488943348192,47.24157159296758,,19.609265848606476,0
5,cnn_dm_1000,1000,4868.260591290891,1.0578785023104575,0.18355844179874037,23.81971989986285,87.1897388637066,,0
5,dsum,1500,4868.260591290891,1.0578785023104575,0.18355844179874037,21.713345677055155,87.19526031812032,,0
5,IWSLT,333,4868.260591290891,1.0578785023104575,0.18355844179874037,46.49316711330918,,19.126002625416398,0
6,cnn_dm_1000,1000,4853.200504556298,1.0611612313022845,0.38093695497684754,23.834062536787183,87.20636849999428,,0
6,dsum,1500,4853.200504556298,1.0611612313022845,0.38093695497684754,21.412176672406275,87.1427888472875,,0
6,IWSLT,333,4853.200504556298,1.0611612313022845,0.38093695497684754,44.32266462260115,,18.013057480432984,0
8,cnn_dm_1000,1000,4368.5342175886035,1.17889158391773,0.7153882259337068,23.818671312842767,87.1874325454235,,0
8,dsum,1500,4368.5342175886035,1.17889158391773,0.7153882259337068,21.643494778366286,87.10284581184388,,0
8,IWSLT,333,4368.5342175886035,1.17889158391773,0.7153882259337068,45.43169658182861,,18.919818455723398,0
11,cnn_dm_1000,1000,3004.9843937158585,1.7138286088745658,2.1150963282576285,23.54448451072056,87.08096308112144,,0
11,dsum,1500,3004.9843937158585,1.7138286088745658,2.1150963282576285,21.581150643688353,87.15271744728088,,0
11,IWSLT,333,3004.9843937158585,1.7138286088745658,2.1150963282576285,45.30851099524983,,18.3005454068444,0
