variant,pairs,pearson,spearman,mae,rmse,direction_accuracy,pred_delta_mean,measured_delta_mean,abs_raw_delta_mean
local_only,11,-0.4459928918788336,-0.4727272727272727,0.03895717617653338,0.04755443855469051,0.45454545454545453,-0.0015364132807489889,0.037245739314335946,0.1049649792489184
local_layer,11,0.2545001978330909,0.34545454545454546,0.03167669901348084,0.03742009476406279,0.7272727272727273,0.010736186606653248,0.037245739314335946,0.1049649792489184
local_type,11,-0.4621924953883702,-0.5090909090909091,0.03055857792867792,0.039642401203394385,0.8181818181818182,0.016868923203922716,0.037245739314335946,0.1049649792489184
final_layer_type,11,0.2731181690737861,0.45454545454545453,0.021483507118531947,0.02556905646503552,1.0,0.027271092645607894,0.037245739314335946,0.1049649792489184
