policy_id,loss_delta,loss,dense_loss,raw_error_sum,local_only_pred_loss_delta,local_layer_pred_loss_delta,local_type_pred_loss_delta,final_layer_type_pred_loss_delta,type_error_q_proj,type_error_k_proj,type_error_v_proj,type_error_o_proj,type_error_gate_proj,type_error_up_proj,type_error_down_proj
sparse_nvfp4_empirical_c064_pair00_high_empirical,0.20320528034128071,2.1610937351816553,1.9578884548403745,6.615249950986868,0.24543496472909992,0.2717307168608733,0.25440974819235074,0.2787334475387129,0.3762512403974154,0.26936487369972817,0.9999049550409796,1.374638058688056,1.0585893276547926,0.836837511069578,1.699663984436319
sparse_nvfp4_empirical_c064_pair00_low_empirical,0.17328693442148713,2.1311753892618617,1.9578884548403745,6.614904000684999,0.24541846217554708,0.24773251955706369,0.2430165081736446,0.2470573979111664,0.4286479202939716,0.30723070215690923,1.7346145146727845,1.1079810122203477,0.7750591749295818,1.3590394576416027,0.9023312187697994
sparse_nvfp4_empirical_c064_pair01_high_empirical,0.21070761409990957,2.168596068940284,1.9578884548403745,6.8205233861999215,0.25522693727329276,0.3072299861325018,0.26620320130493536,0.30464982558987125,0.2514142861252944,0.12914245017805584,0.8020505503208615,0.8952355824088863,0.9138872520570064,1.9399117991141033,1.8888814659957132
sparse_nvfp4_empirical_c064_pair01_low_empirical,0.18368901758511247,2.141577472425487,1.9578884548403745,6.820847167460408,0.25524238231716667,0.2755822186668506,0.23722654549382588,0.254524241476973,0.3086632318286149,0.24342760428942276,1.4727156332948967,1.609918634676732,0.6982580836282866,0.9780491348009808,1.5098148449414739
sparse_nvfp4_empirical_c064_pair02_high_empirical,0.2159560197953374,2.173844474635712,1.9578884548403745,6.901299188016745,0.25908011210229387,0.21796840907097403,0.2862861364396744,0.24252972832622374,0.4706821140071899,0.17153152563394636,0.8497209307144677,0.8201073414735244,1.1248920974091328,1.0941972468206993,2.3701679319577837
sparse_nvfp4_empirical_c064_pair02_low_empirical,0.18656812488682806,2.1444565797272026,1.9578884548403745,6.9013831930212115,0.2590841193168487,0.29788235157007187,0.24544526334789893,0.2794493135956608,0.22553782334023575,0.23345956861106526,1.8470988134269233,1.2668853336958388,1.01118497553017,0.9554482634261136,1.3617684149908649
sparse_nvfp4_empirical_c064_pair03_high_empirical,0.24318158883171326,2.201070043672088,1.9578884548403745,6.570078621615413,0.24328019776409585,0.25902524023743,0.2373976553080703,0.2611559996226155,0.19729051475773615,0.2425303670623568,1.2353971355110578,1.4154810622839178,1.0262726828021038,1.343615002284001,1.10949185691424
sparse_nvfp4_empirical_c064_pair03_low_empirical,0.20451163592403865,2.162400090764413,1.9578884548403745,6.5704649417340795,0.24329862604241304,0.23875910571776066,0.23285839603956843,0.24476850041783405,0.30626421941198817,0.38087300100810934,1.8242692035559744,1.0694228957681389,0.5215196027348705,1.5643610162666102,0.9037550029883861
sparse_nvfp4_empirical_c064_pair04_high_empirical,0.19634989329746788,2.1542383481378424,1.9578884548403745,6.363893354710557,0.23344472893953042,0.24167931829244538,0.2529896054649212,0.25662599730458124,0.43688254367051943,0.3152870787101919,0.6327713717252348,1.164682772834313,0.7963659886580675,1.2115513385781407,1.8063522605340903
sparse_nvfp4_empirical_c064_pair04_low_empirical,0.1634909999347245,2.121379454775099,1.9578884548403745,6.363325416743101,0.2334176371096579,0.24395103508472935,0.21261955336402213,0.22324665995414852,0.467729506801846,0.2615431270787657,1.326472047713294,1.8736353014778302,0.48512899860993214,0.8878681807089215,1.0609482543525113
sparse_nvfp4_empirical_c064_pair05_high_empirical,0.19662253124140006,2.1545109860817746,1.9578884548403745,6.7957813486643905,0.2540466902920706,0.2611099071993686,0.25447858280183944,0.2595082930915795,0.38038086847902586,0.06144437333490009,1.604221325845945,1.0072977174371966,1.2335762148612892,1.113105290870709,1.3957555578353236
sparse_nvfp4_empirical_c064_pair05_low_empirical,0.19207256694129282,2.1499610217816674,1.9578884548403745,6.79440714234634,0.25398113777416964,0.23604143401581393,0.24863875262401433,0.23033149526553798,0.25383388396084244,0.3050688351497074,1.7022569851851628,1.064199039509012,0.8422409223452607,1.6347545250793647,0.9920529511169909
sparse_nvfp4_empirical_c064_pair06_high_empirical,0.1657565521867308,2.1236450070271053,1.9578884548403745,6.377703411196496,0.2341034975415353,0.2526084151349896,0.24247331604769554,0.25501778057486,0.1589771047023397,0.39077020708185306,1.0415950637390594,1.0377146585739727,0.8517584377966708,1.0273113507992446,1.8695765885033546
sparse_nvfp4_empirical_c064_pair06_low_empirical,0.1529171676785046,2.110805622518879,1.9578884548403745,6.37890550739425,0.23416084004643217,0.2654528463269529,0.23915222850706963,0.2682399559024686,0.39986941592732683,0.4039484830067838,1.415330861547839,1.2969465032966916,0.8946679021051351,1.1461171944055166,0.822025147104956
sparse_nvfp4_empirical_c064_pair07_high_empirical,0.20163985567783427,2.159528310518209,1.9578884548403745,6.574246618778235,0.2434790199533394,0.25360267061431785,0.25785666366444776,0.26838445300254465,0.4787508896840671,0.21442187934233864,0.9973618206121009,1.2816861684719711,1.1392580035394546,0.9222353298694606,1.5405325272588402
sparse_nvfp4_empirical_c064_pair07_low_empirical,0.17895419070398755,2.136842645544362,1.9578884548403745,6.574724464281139,0.24350181418406858,0.22660288692163486,0.2260006153069537,0.2181460525855446,0.5744133512375661,0.18533996140425746,1.3979736960389155,1.7414216253853982,0.5009885284865758,0.946004880435589,1.228582421292836
sparse_nvfp4_empirical_c064_pair08_high_empirical,0.23122767692909307,2.1891161317694676,1.9578884548403745,6.373036743447189,0.23388088772148405,0.22092484564619916,0.23474601403668544,0.2231130642861935,0.3705369404582293,0.1624894350281675,1.1400242449003184,1.5414610675221097,1.2730805599490136,0.9875191944751892,0.8979253011141601
sparse_nvfp4_empirical_c064_pair08_low_empirical,0.15176061454817735,2.109649069388552,1.9578884548403745,6.372456369233341,0.23385320265662676,0.23441650996217508,0.23025878389618032,0.22871287870343596,0.37120694348907884,0.3691255442696873,1.5137829303007309,1.38527420036026,0.8233769143546978,1.2487439402754528,0.6609458961834331
sparse_nvfp4_empirical_c064_pair09_high_empirical,0.16746327275166073,2.1253517275920353,1.9578884548403745,6.754979368078887,0.2521003504102088,0.26064753569821064,0.23608646217822538,0.2526856777812675,0.34104964823307365,0.2125762435924451,1.3317195431987408,1.5611895113555923,0.6225552767459757,0.609390962484796,2.076498182468265
sparse_nvfp4_empirical_c064_pair09_low_empirical,0.1576659618758407,2.1155544167162152,1.9578884548403745,6.755587626560248,0.25212936561299454,0.23589028309545815,0.24441611847196223,0.22756582014000257,0.40844869574968046,0.34182948697740123,1.7170334870325066,1.361779446469217,0.7446012832876414,1.3062385377032728,0.8756566893405262
sparse_nvfp4_empirical_c064_pair10_high_empirical,0.163079049022697,2.1209675038630715,1.9578884548403745,6.895629389758059,0.25880965085716223,0.25699496977315905,0.271609194151088,0.2727174640718401,0.564375833210336,0.2548668022827636,1.0448592459341242,0.9221104965583661,0.451641354849384,1.3776809809677921,2.2800946759552927
sparse_nvfp4_empirical_c064_pair10_low_empirical,0.1773934429639008,2.1352818978042754,1.9578884548403745,6.896570569152087,0.25885454708436223,0.2695233230159426,0.2259415564695244,0.2302897092335891,0.1726731979888721,0.40881962434366925,1.664649702953453,1.9866946980227476,0.5058003000084026,0.9662369481953956,1.1916960976395468
sparse_nvfp4_empirical_c064_pair11_high_empirical,0.24523525928564482,2.2031237141260194,1.9578884548403745,6.38534086729389,0.2344678201843339,0.23646301297681324,0.2513440258260654,0.2546155435063246,0.4236854556003878,0.25459302641927556,0.6211925440663425,1.5308244161277593,1.2100093612070069,1.2358705673324386,1.1091654965406776
sparse_nvfp4_empirical_c064_pair11_low_empirical,0.15117517236160904,2.1090636272019836,1.9578884548403745,6.386826962682878,0.23453871004512825,0.23257836534332263,0.22037034906487665,0.22017946634561564,0.4284843464690722,0.31145757659970136,2.0062879176677733,1.1844031925822596,0.6119997546982937,0.8943875332059734,0.9498066414598048
