kind,item_id,label,num_samples,nll_samples,conditional_nll,conditional_ppl,nll_tokens,rouge1,rouge2,rougeL,results_jsonl,point_index,policy_json,converted_policy_json,quality_cost,predicted_latency_ms,replaced_weight_modules
pareto,6,point_006,1500,1500,1.4822082491712154,4.402657118268204,46958,0.2165438474043933,0.05720527684882696,0.16116888882872552,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/pareto/point_006/results.jsonl,6,/root/wja/project/my/cospaq/fake/artifacts/debug/010_llama2_normal02_pareto_handoff/pareto/policies/point_006_budget_2.64481.json,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/converted_policies/point_006_offline_hybrid_policy.json,2.597271027163946,3562.056053740592,49
pareto,7,point_007,1500,1500,1.4816577396184964,4.4002340804811695,46958,0.21659691363566116,0.057272547863108286,0.16113622208957443,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/pareto/point_007/results.jsonl,7,/root/wja/project/my/cospaq/fake/artifacts/debug/010_llama2_normal02_pareto_handoff/pareto/policies/point_007_budget_5.28963.json,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/converted_policies/point_007_offline_hybrid_policy.json,5.297421781931477,3190.2573785590703,71
