kind,item_id,label,num_samples,nll_samples,conditional_nll,conditional_ppl,nll_tokens,rouge1,rouge2,rougeL,results_jsonl
uniform,marlin_nvfp4,marlin_nvfp4,1500,1500,1.4722348786557249,4.358966023468704,46958,0.216413255648684,0.057675100680637144,0.1606404214090814,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/uniform/marlin_nvfp4/results.jsonl
uniform,dense_nvfp4_prefill_marlin_decode,dense_nvfp4_prefill_marlin_decode,1500,1500,1.477486153838838,4.381916360098732,46958,0.21625085616066925,0.057431774743502625,0.16059879637697141,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/uniform/dense_nvfp4_prefill_marlin_decode/results.jsonl
