kind,item_id,label,num_samples,nll_samples,conditional_nll,conditional_ppl,nll_tokens,rouge1,rouge2,rougeL,results_jsonl,point_index,policy_json,converted_policy_json,quality_cost,predicted_latency_ms,replaced_weight_modules
pareto,3,point_003,1500,1500,1.4926724486124925,4.448969287718434,46958,0.21685496262022905,0.05716913343338739,0.16115700611783693,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/pareto/point_003/results.jsonl,3,/root/wja/project/my/cospaq/fake/artifacts/debug/010_llama2_normal02_pareto_handoff/pareto/policies/point_003_budget_0.330602.json,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/converted_policies/point_003_offline_hybrid_policy.json,0.32589587390637925,4056.250200886736,9
pareto,4,point_004,1500,1500,1.4897564143419588,4.436014837796441,46958,0.21673083402100626,0.05722757674878156,0.16122570353176907,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/pareto/point_004/results.jsonl,4,/root/wja/project/my/cospaq/fake/artifacts/debug/010_llama2_normal02_pareto_handoff/pareto/policies/point_004_budget_0.661203.json,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/converted_policies/point_004_offline_hybrid_policy.json,0.6480965810581958,3957.466006479064,16
pareto,5,point_005,1500,1500,1.485885310977976,4.41887576080751,46958,0.21629040781603268,0.05707774828380947,0.16090825499274386,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/pareto/point_005/results.jsonl,5,/root/wja/project/my/cospaq/fake/artifacts/debug/010_llama2_normal02_pareto_handoff/pareto/policies/point_005_budget_1.32241.json,fake/artifacts/debug/012_llama2_dialogsum_pareto/quality/final/converted_policies/point_005_offline_hybrid_policy.json,1.3054874738344142,3799.9954760890814,27
