model,scenario,linear_group,n,k,count,prefill_backend,decode_backend,prefill_ms,decode_ms,conversion_ms,weighted_total_ms
Qwen3.5-9B,prefill_only,linear_attn.in_proj_a,32,4096,24,sparse_bf16,sparse_bf16,0.1025375,0.0,0.0,2.4609
Qwen3.5-9B,prefill_only,linear_attn.in_proj_b,32,4096,24,sparse_bf16,sparse_bf16,0.1025375,0.0,0.0,2.4609
Qwen3.5-9B,prefill_only,linear_attn.in_proj_qkv,8192,4096,24,sparse_nvfp4,sparse_nvfp4,2.1176075,0.0,0.0,50.82258
Qwen3.5-9B,prefill_only,linear_attn.in_proj_z,4096,4096,24,sparse_bf16,sparse_bf16,1.257995,0.0,0.0,30.191879999999998
Qwen3.5-9B,prefill_only,linear_attn.out_proj,4096,4096,24,sparse_bf16,sparse_bf16,1.257995,0.0,0.0,30.191879999999998
Qwen3.5-9B,prefill_only,mlp.down_proj,4096,12288,32,sparse_bf16,sparse_bf16,3.8149197912726565,0.0,0.0,122.077433320725
Qwen3.5-9B,prefill_only,mlp.gate_proj,12288,4096,32,sparse_nvfp4,sparse_nvfp4,2.6727769176622624,0.0,0.0,85.5288613651924
Qwen3.5-9B,prefill_only,mlp.up_proj,12288,4096,32,sparse_nvfp4,sparse_nvfp4,2.6727769176622624,0.0,0.0,85.5288613651924
Qwen3.5-9B,prefill_only,self_attn.k_proj,1024,4096,8,sparse_bf16,sparse_bf16,0.373521,0.0,0.0,2.988168
Qwen3.5-9B,prefill_only,self_attn.o_proj,4096,4096,8,sparse_bf16,sparse_bf16,1.257995,0.0,0.0,10.06396
Qwen3.5-9B,prefill_only,self_attn.q_proj,8192,4096,8,sparse_nvfp4,sparse_nvfp4,2.1176075,0.0,0.0,16.94086
Qwen3.5-9B,prefill_only,self_attn.v_proj,1024,4096,8,sparse_bf16,sparse_bf16,0.373521,0.0,0.0,2.988168
Qwen3.5-9B,prefill_only,__TOTAL__,,,,,,,,,442.24445205110976
