timestamp,model,head,method,task,speed_scope,runtime_dtype,device,batch_size,input_c,input_h,input_w,warmup,iters,hidden_size,num_register_tokens,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,images_per_sec,backbone_path,head_path,cutlass_sparse_nvfp4_module_count,torch_version,cuda_version,checkpoint_path,compression_method,sparsity,nvfp4_group_size,calib_samples,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,sparse_pattern,sparse_prune_on_convert,token_pad_multiple,replaced_linear_count,skipped_linear_count
2026-05-16T11:11:25,facebook/dinov3-vit7b16-pretrain-lvd1689m,dinov3_vit7b16_imagenet1k_linear_head,sparse_nvfp4_cutlass,forward_speed,random_input_classifier_forward_only,bfloat16,NVIDIA GeForce RTX 5090,1,3,256,256,1,2,4096,4,56.021023,56.021023,56.518713,55.398911,56.643135,17.850,/data/home/scxj523/run/wja/data/models/facebook/dinov3-vit7b16-pretrain-lvd1689m,/data/home/scxj523/run/wja/data/models/facebook/dinov3_vit7b16_imagenet1k_linear_head/dinov3_vit7b16_imagenet1k_linear_head-90d8ed92.pth,280,2.9.0+cu128,12.8,artifacts/checkpoints/dinov3_vit7b16/nvfp4_semi_structured_sparse/model.pt,nvfp4_semi_structured_sparse,0.5,32,16,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,pairwise_4to8,False,32,280,0
2026-05-16T11:27:05,facebook/dinov3-vit7b16-pretrain-lvd1689m,dinov3_vit7b16_imagenet1k_linear_head,sparse_nvfp4_cutlass,forward_speed,random_input_classifier_forward_only,bfloat16,NVIDIA GeForce RTX 5090,1,3,256,256,10,50,4096,4,55.208017,55.166576,55.321311,54.910465,57.774113,18.113,/data/home/scxj523/run/wja/data/models/facebook/dinov3-vit7b16-pretrain-lvd1689m,/data/home/scxj523/run/wja/data/models/facebook/dinov3_vit7b16_imagenet1k_linear_head/dinov3_vit7b16_imagenet1k_linear_head-90d8ed92.pth,280,2.9.0+cu128,12.8,artifacts/checkpoints/dinov3_vit7b16/nvfp4_semi_structured_sparse/model.pt,nvfp4_semi_structured_sparse,0.5,32,16,cutlass_sparse_nvfp4_sm120,32,cutlass_sparse_sm120,cutlass_sparse_sm120,cutlass_sparse_sm120,pairwise_4to8,False,32,280,0
