batch_size,actual_batch_size,label,group,policy_json,forward_mean_ms,forward_p50_ms,forward_p90_ms,forward_min_ms,forward_max_ms,images_per_sec,runtime_dtype,warmup,iters,backend_counts,effective_dense_runtime,replaced_linear_count,skipped_linear_count
2,2,dense_default_amp,uncompressed,,40.505454,40.237167,40.688388,38.222080,44.674240,49.376067,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
2,2,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,31.602795,31.631664,31.862976,31.135489,32.331230,63.285542,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
2,2,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,31.380597,31.294448,31.481171,31.022753,35.361889,63.733650,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
2,2,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,38.503362,38.433521,38.625005,38.167583,40.111298,51.943516,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
2,2,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,38.188404,38.044241,38.871178,37.349281,40.588737,52.371919,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
2,2,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,25.657644,25.581440,25.661135,25.432480,29.240641,77.949479,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
2,2,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,77.892088,77.750145,78.822624,76.598495,80.807549,25.676549,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
2,2,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,41.394545,41.224497,41.615171,40.657791,49.643841,48.315544,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
2,2,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,69.232128,68.798717,69.252103,68.010269,77.462112,28.888322,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
32,32,dense_default_amp,uncompressed,,102.892442,102.877121,102.950428,102.811714,103.049858,311.004378,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
32,32,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,73.915525,73.929470,73.991283,73.754814,74.317535,432.926640,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
32,32,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,87.961881,87.955921,88.012274,87.861092,88.167007,363.793949,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
32,32,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,75.507339,75.505024,75.544761,75.419037,75.679169,423.799864,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
32,32,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,79.383713,79.383923,79.416446,79.291809,79.458496,403.105359,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
32,32,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,92.437202,92.424656,92.470699,92.376030,92.694397,346.180966,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
32,32,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,115.043780,115.163906,120.760829,109.730499,126.138016,278.154978,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
32,32,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,71.867243,71.869793,71.901784,71.777763,71.983742,445.265445,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
32,32,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,120.592009,123.695663,125.756082,113.511459,127.992256,265.357549,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
4,4,dense_default_amp,uncompressed,,39.528835,39.333103,39.513759,39.020737,42.969471,101.191953,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
4,4,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,40.833023,40.725807,41.355572,40.245697,42.165760,97.959928,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
4,4,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,31.728678,31.619216,31.916499,31.391104,34.887680,126.068916,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
