method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss,module_name,module_family,numel,weight_mse,weight_rel_mse,weight_rmse_over_rms,weight_max_abs_error,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error
dense_nvfp4,layer_type:0:q_proj,layer_type,0,q_proj,1,1,1.957729880823781,-0.00015857401659347126,7.083229025795055,65408,128051.19604492188,1.9578884548403745,model.layers.0.self_attn.q_proj,attention,16777216,1.4041881968296366e-06,0.007728450069984084,0.08791160372774509,0.033203125,3.448494570079674e-05,5.245553372356945e-05,0.007242619258498229,0.09375
dense_nvfp4,layer_type:0:k_proj,layer_type,0,k_proj,1,1,1.9580397008683117,0.00015124602793714637,7.085423892116482,65408,128071.46075439453,1.9578884548403745,model.layers.0.self_attn.k_proj,attention,16777216,1.776642875483958e-06,0.007789740174550455,0.08825950472640584,0.037109375,3.665551452058935e-05,8.854440793312813e-05,0.009409803820119106,0.1015625
dense_nvfp4,layer_type:0:v_proj,layer_type,0,v_proj,1,1,1.9584282699629751,0.0005398151226005954,7.088177603832534,65408,128096.87628173828,1.9578884548403745,model.layers.0.self_attn.v_proj,attention,16777216,9.667986660133465e-07,0.007912722251626573,0.08895348363963365,0.0146484375,5.258479639280722e-06,0.005264467050293041,0.07255664718199871,0.02734375
dense_nvfp4,layer_type:0:o_proj,layer_type,0,o_proj,1,1,1.9578878277668514,-6.270735231073132e-07,7.084347888524895,65408,128061.52703857422,1.9578884548403745,model.layers.0.self_attn.o_proj,attention,16777216,3.9923259009810863e-07,0.007743985967846362,0.08799992027181822,0.04296875,1.6953999315560964e-07,0.000724393118997094,0.02691455217901821,0.0537109375
dense_nvfp4,layer_type:0:gate_proj,layer_type,0,gate_proj,1,1,1.9577780133824059,-0.00011044145796867966,7.083569967936535,65408,128054.3442993164,1.9578884548403745,model.layers.0.mlp.gate_proj,mlp,45088768,2.0182007236059667e-06,0.007502999812469574,0.08661985807232413,0.0361328125,1.2706959772236418e-05,0.0021504978920680005,0.04637346107492949,0.109375
dense_nvfp4,layer_type:0:up_proj,layer_type,0,up_proj,1,1,1.9577732011530031,-0.00011525368737141939,7.083535880254878,65408,128054.02954101562,1.9578884548403745,model.layers.0.mlp.up_proj,mlp,45088768,1.9513497326717995e-06,0.007504985964111575,0.08663132207297529,0.01397705078125,1.190872713185706e-05,0.002933604165492543,0.05416275625826794,0.0390625
dense_nvfp4,layer_type:0:down_proj,layer_type,0,down_proj,1,1,1.9578823940627963,-6.060777578253962e-06,7.084309394379628,65408,128061.17163085938,1.9578884548403745,model.layers.0.mlp.down_proj,mlp,45088768,2.2011292965671177e-06,0.007789514809741619,0.08825822800023587,0.0439453125,3.567724657926874e-07,0.0018501069013047826,0.04301286901968738,0.078125
dense_nvfp4,layer_type:1:q_proj,layer_type,1,q_proj,1,1,1.9580169769182598,0.0001285220778852736,7.085262885127225,65408,128069.97442626953,1.9578884548403745,model.layers.1.self_attn.q_proj,attention,16777216,5.530468115466647e-06,0.007901138780059496,0.08888835008064609,0.041015625,0.0003354096393195505,0.000361163992364272,0.01900431509853149,0.20703125
dense_nvfp4,layer_type:1:k_proj,layer_type,1,k_proj,1,1,1.957770816034067,-0.00011763880630755175,7.083518985199464,65408,128053.87353515625,1.9578884548403745,model.layers.1.self_attn.k_proj,attention,16777216,5.4974138947727624e-06,0.007882545387407956,0.08878370000967495,0.041015625,0.0003631535930708196,0.00034170866139097083,0.01848536343681051,0.2724609375
dense_nvfp4,layer_type:1:v_proj,layer_type,1,v_proj,1,1,1.958287732241905,0.0003992774015304512,7.087181517501042,65408,128087.68399047852,1.9578884548403745,model.layers.1.self_attn.v_proj,attention,16777216,8.152845794029417e-07,0.008079739786581596,0.08988737278718072,0.01171875,1.679222619088705e-05,0.0048574540601605916,0.06969543787193386,0.056640625
