method,rows,loss_delta_mean,loss_delta_min,loss_delta_max
dense_nvfp4,263,0.00042997241028185627,-0.0003764540715227582,0.026816724097892042
marlin_nvfp4,263,0.00042997241028185627,-0.0003764540715227582,0.026816724097892042
sparse_bf16,263,0.0024269710111822743,-0.0013346387448842645,0.06387421389615233
sparse_nvfp4,263,0.005816214217305713,-0.0016023375516769356,0.19023038823077365
