method,linear_type,rows,loss_delta_mean,loss_delta_min,loss_delta_max
dense_nvfp4,down_proj,1,0.026816724097892042,0.026816724097892042,0.026816724097892042
dense_nvfp4,gate_proj,1,0.00235368734236574,0.00235368734236574,0.00235368734236574
dense_nvfp4,k_proj,1,5.822825572820989e-07,5.822825572820989e-07,5.822825572820989e-07
dense_nvfp4,o_proj,1,0.0012284589606954555,0.0012284589606954555,0.0012284589606954555
dense_nvfp4,q_proj,1,0.001301720650928706,0.001301720650928706,0.001301720650928706
dense_nvfp4,up_proj,1,0.0030276346113351504,0.0030276346113351504,0.0030276346113351504
dense_nvfp4,v_proj,1,0.004039989758844342,0.004039989758844342,0.004039989758844342
marlin_nvfp4,down_proj,1,0.026816724097892042,0.026816724097892042,0.026816724097892042
marlin_nvfp4,gate_proj,1,0.00235368734236574,0.00235368734236574,0.00235368734236574
marlin_nvfp4,k_proj,1,5.822825572820989e-07,5.822825572820989e-07,5.822825572820989e-07
marlin_nvfp4,o_proj,1,0.0012284589606954555,0.0012284589606954555,0.0012284589606954555
marlin_nvfp4,q_proj,1,0.001301720650928706,0.001301720650928706,0.001301720650928706
marlin_nvfp4,up_proj,1,0.0030276346113351504,0.0030276346113351504,0.0030276346113351504
marlin_nvfp4,v_proj,1,0.004039989758844342,0.004039989758844342,0.004039989758844342
sparse_bf16,down_proj,1,0.06387421389615233,0.06387421389615233,0.06387421389615233
sparse_bf16,gate_proj,1,0.04362569909739622,0.04362569909739622,0.04362569909739622
sparse_bf16,k_proj,1,0.0029718022057221294,0.0029718022057221294,0.0029718022057221294
sparse_bf16,o_proj,1,0.005840174605935111,0.005840174605935111,0.005840174605935111
sparse_bf16,q_proj,1,0.008664404576071982,0.008664404576071982,0.008664404576071982
sparse_bf16,up_proj,1,0.0630171989508106,0.0630171989508106,0.0630171989508106
sparse_bf16,v_proj,1,0.05872718415381617,0.05872718415381617,0.05872718415381617
sparse_nvfp4,down_proj,1,0.19023038823077365,0.19023038823077365,0.19023038823077365
sparse_nvfp4,gate_proj,1,0.1192313267060221,0.1192313267060221,0.1192313267060221
sparse_nvfp4,k_proj,1,0.012784973749209394,0.012784973749209394,0.012784973749209394
sparse_nvfp4,o_proj,1,0.02887682392172608,0.02887682392172608,0.02887682392172608
sparse_nvfp4,q_proj,1,0.02092608360395043,0.02092608360395043,0.02092608360395043
sparse_nvfp4,up_proj,1,0.14660235440427782,0.14660235440427782,0.14660235440427782
sparse_nvfp4,v_proj,1,0.07073119055268351,0.07073119055268351,0.07073119055268351
