method,layer,rows,loss_delta_mean,loss_delta_min,loss_delta_max
dense_nvfp4,0,1,0.0002052825957594706,0.0002052825957594706,0.0002052825957594706
dense_nvfp4,1,1,0.02237407195358121,0.02237407195358121,0.02237407195358121
dense_nvfp4,10,1,0.00028477816199146133,0.00028477816199146133,0.00028477816199146133
dense_nvfp4,11,1,0.0004222528341930598,0.0004222528341930598,0.0004222528341930598
dense_nvfp4,12,1,0.0017737614431960758,0.0017737614431960758,0.0017737614431960758
dense_nvfp4,13,1,0.0005151488309738106,0.0005151488309738106,0.0005151488309738106
dense_nvfp4,14,1,0.0005854855778166801,0.0005854855778166801,0.0005854855778166801
dense_nvfp4,15,1,0.00025972461513812384,0.00025972461513812384,0.00025972461513812384
dense_nvfp4,16,1,0.0009768769699067814,0.0009768769699067814,0.0009768769699067814
dense_nvfp4,17,1,0.0004405788712771308,0.0004405788712771308,0.0004405788712771308
dense_nvfp4,18,1,5.615294096283918e-05,5.615294096283918e-05,5.615294096283918e-05
dense_nvfp4,19,1,0.0008961921102146331,0.0008961921102146331,0.0008961921102146331
dense_nvfp4,2,1,0.0005987726312326469,0.0005987726312326469,0.0005987726312326469
dense_nvfp4,20,1,-7.347864647444524e-05,-7.347864647444524e-05,-7.347864647444524e-05
dense_nvfp4,21,1,0.0004957016200235476,0.0004957016200235476,0.0004957016200235476
dense_nvfp4,22,1,-6.885304609616227e-05,-6.885304609616227e-05,-6.885304609616227e-05
dense_nvfp4,23,1,0.0008279395430055292,0.0008279395430055292,0.0008279395430055292
dense_nvfp4,24,1,0.00013248514522534727,0.00013248514522534727,0.00013248514522534727
dense_nvfp4,25,1,0.0005447318642572974,0.0005447318642572974,0.0005447318642572974
dense_nvfp4,26,1,0.00034715984665489863,0.00034715984665489863,0.00034715984665489863
dense_nvfp4,27,1,0.0007761527880763008,0.0007761527880763008,0.0007761527880763008
dense_nvfp4,28,1,0.000500090201540182,0.000500090201540182,0.000500090201540182
dense_nvfp4,29,1,0.00043993173513401373,0.00043993173513401373,0.00043993173513401373
dense_nvfp4,3,1,0.0006616810763184766,0.0006616810763184766,0.0006616810763184766
dense_nvfp4,30,1,0.0015957999369402565,0.0015957999369402565,0.0015957999369402565
dense_nvfp4,31,1,0.0005585330806365807,0.0005585330806365807,0.0005585330806365807
dense_nvfp4,4,1,0.0004499770423904703,0.0004499770423904703,0.0004499770423904703
dense_nvfp4,5,1,4.8595398606243734e-05,4.8595398606243734e-05,4.8595398606243734e-05
dense_nvfp4,6,1,0.000261820925658407,0.000261820925658407,0.000261820925658407
dense_nvfp4,7,1,0.00013965589892839247,0.00013965589892839247,0.00013965589892839247
dense_nvfp4,8,1,0.0010677699706791444,0.0010677699706791444,0.0010677699706791444
dense_nvfp4,9,1,0.0007077966417585735,0.0007077966417585735,0.0007077966417585735
marlin_nvfp4,0,1,0.0002052825957594706,0.0002052825957594706,0.0002052825957594706
marlin_nvfp4,1,1,0.02237407195358121,0.02237407195358121,0.02237407195358121
marlin_nvfp4,10,1,0.00028477816199146133,0.00028477816199146133,0.00028477816199146133
marlin_nvfp4,11,1,0.0004222528341930598,0.0004222528341930598,0.0004222528341930598
marlin_nvfp4,12,1,0.0017737614431960758,0.0017737614431960758,0.0017737614431960758
marlin_nvfp4,13,1,0.0005151488309738106,0.0005151488309738106,0.0005151488309738106
marlin_nvfp4,14,1,0.0005854855778166801,0.0005854855778166801,0.0005854855778166801
marlin_nvfp4,15,1,0.00025972461513812384,0.00025972461513812384,0.00025972461513812384
marlin_nvfp4,16,1,0.0009768769699067814,0.0009768769699067814,0.0009768769699067814
marlin_nvfp4,17,1,0.0004405788712771308,0.0004405788712771308,0.0004405788712771308
marlin_nvfp4,18,1,5.615294096283918e-05,5.615294096283918e-05,5.615294096283918e-05
marlin_nvfp4,19,1,0.0008961921102146331,0.0008961921102146331,0.0008961921102146331
marlin_nvfp4,2,1,0.0005987726312326469,0.0005987726312326469,0.0005987726312326469
marlin_nvfp4,20,1,-7.347864647444524e-05,-7.347864647444524e-05,-7.347864647444524e-05
marlin_nvfp4,21,1,0.0004957016200235476,0.0004957016200235476,0.0004957016200235476
marlin_nvfp4,22,1,-6.885304609616227e-05,-6.885304609616227e-05,-6.885304609616227e-05
marlin_nvfp4,23,1,0.0008279395430055292,0.0008279395430055292,0.0008279395430055292
marlin_nvfp4,24,1,0.00013248514522534727,0.00013248514522534727,0.00013248514522534727
marlin_nvfp4,25,1,0.0005447318642572974,0.0005447318642572974,0.0005447318642572974
marlin_nvfp4,26,1,0.00034715984665489863,0.00034715984665489863,0.00034715984665489863
marlin_nvfp4,27,1,0.0007761527880763008,0.0007761527880763008,0.0007761527880763008
marlin_nvfp4,28,1,0.000500090201540182,0.000500090201540182,0.000500090201540182
marlin_nvfp4,29,1,0.00043993173513401373,0.00043993173513401373,0.00043993173513401373
marlin_nvfp4,3,1,0.0006616810763184766,0.0006616810763184766,0.0006616810763184766
marlin_nvfp4,30,1,0.0015957999369402565,0.0015957999369402565,0.0015957999369402565
marlin_nvfp4,31,1,0.0005585330806365807,0.0005585330806365807,0.0005585330806365807
marlin_nvfp4,4,1,0.0004499770423904703,0.0004499770423904703,0.0004499770423904703
marlin_nvfp4,5,1,4.8595398606243734e-05,4.8595398606243734e-05,4.8595398606243734e-05
marlin_nvfp4,6,1,0.000261820925658407,0.000261820925658407,0.000261820925658407
marlin_nvfp4,7,1,0.00013965589892839247,0.00013965589892839247,0.00013965589892839247
marlin_nvfp4,8,1,0.0010677699706791444,0.0010677699706791444,0.0010677699706791444
marlin_nvfp4,9,1,0.0007077966417585735,0.0007077966417585735,0.0007077966417585735
sparse_bf16,0,1,-0.00010217285902758277,-0.00010217285902758277,-0.00010217285902758277
sparse_bf16,1,1,0.005569095480931985,0.005569095480931985,0.005569095480931985
sparse_bf16,10,1,0.005877238197102619,0.005877238197102619,0.005877238197102619
sparse_bf16,11,1,0.0014992483441376159,0.0014992483441376159,0.0014992483441376159
sparse_bf16,12,1,0.004692177016674348,0.004692177016674348,0.004692177016674348
sparse_bf16,13,1,0.005043077842130206,0.005043077842130206,0.005043077842130206
sparse_bf16,14,1,0.004209156372309231,0.004209156372309231,0.004209156372309231
