point_index,quality_budget,quality_cost,latency_ms,speedup_vs_dense_linear,dense_latency_ms,speed_optimal_latency_ms,speed_gap_to_optimal_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_marlin_nvfp4,quality_budget_bins
0,0.0,0.0,905.1911178588867,1.0,905.1911178588867,419.98264389038087,485.20847396850587,224,0,0,0,0,0
1,0.3792646015372682,0.0835134468395764,898.5746955394745,1.007363241311219,905.1911178588867,419.98264389038087,478.59205164909366,222,2,0,0,0,2
2,0.7585292030745364,0.23199262343139426,891.9582732200622,1.0148357216207577,905.1911178588867,419.98264389038087,471.97562932968134,220,4,0,0,0,4
3,1.896323007686341,0.7823808308814105,868.8007951021194,1.0418856922805761,905.1911178588867,419.98264389038087,448.81815121173855,213,11,0,0,0,11
4,3.792646015372682,1.3752894570398297,835.7186835050583,1.0831289711777852,905.1911178588867,419.98264389038087,415.7360396146774,203,21,0,0,0,21
5,7.585292030745364,2.842046757666721,766.3655449867249,1.1811479832050207,905.1911178588867,419.98264389038087,346.382901096344,182,42,0,0,0,42
6,18.96323007686341,9.444868534378953,634.0879467725754,1.4275482170354932,905.1911178588867,419.98264389038087,214.1053028821945,118,92,14,0,0,106
7,37.92646015372682,22.580674646524304,572.9636934399605,1.5798402729923402,905.1911178588867,419.98264389038087,152.9810495495796,48,117,59,0,0,212
8,75.85292030745364,58.21201590943091,506.5709192276001,1.7868990964564002,905.1911178588867,419.98264389038087,86.58827533721922,0,131,93,0,0,424
9,151.7058406149073,137.4586397729933,448.32545070648194,2.0190491448399035,905.1911178588867,419.98264389038087,28.342806816101074,0,61,158,5,0,847
10,265.4852210760877,249.35458457377698,419.98264389038087,2.1553060133007533,905.1911178588867,419.98264389038087,0.0,0,0,160,64,0,1483
