status,method,model_path,scenario,batch,input_seq,output_seq,e2e_median_ms,e2e_mean_ms,e2e_min_ms,e2e_max_ms,e2e_std_ms,ttft_median_ms,ttft_mean_ms,tpot_ms,requests_per_s,prompt_tokens_per_s,output_tokens_per_s,total_tokens_per_s
OK,dense_bf16,/home/agent/wja/data/models/LLM-Research/Meta-Llama-3.1-8B-Instruct,prefill_only,8,2048,1,1143.1943904608488,1150.0688511878252,1140.7528463751078,1165.9815199673176,10.286691588695927,1141.421303153038,1141.4276666939259,0.0,6.997934967801067,14331.770814056585,6.997934967801067,14338.768749024386
OK,dense_bf16,/home/agent/wja/data/models/LLM-Research/Meta-Llama-3.1-8B-Instruct,prefill_decode,16,2048,80,3629.3114814907312,3631.307018175721,3622.602617368102,3648.101232945919,9.05888092938591,2284.272514283657,2284.6056915819645,17.02580971148195,4.408549688170616,9028.709761373422,352.6839750536493,9381.393736427071
OK,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/checkpoints/uniform_dense_nvfp4,prefill_only,8,2048,1,621.7311974614859,622.3066851496696,621.0541985929012,624.4827825576067,1.2528361275108775,621.6281745582819,622.1019685268402,0.0,12.867297045192224,26352.224348553675,12.867297045192224,26365.091645598866
OK,dense_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/checkpoints/uniform_dense_nvfp4,prefill_decode,16,2048,80,3902.382792904973,3903.2877143472433,3894.109081476927,3911.4657770842314,6.146046971355095,1246.275456622243,1246.961833536625,33.62161185168013,4.100059079055502,8396.920993905667,328.0047263244401,8724.925720230107
OK,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/checkpoints/uniform_marlin_nvfp4,prefill_only,8,2048,1,1109.9732518196106,1110.2719757705927,1107.0368606597185,1113.4499572217464,2.1138114957513667,1111.111344769597,1110.6868024915457,0.0,7.207380886778464,14760.716056122294,7.207380886778464,14767.923437009073
OK,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/checkpoints/uniform_marlin_nvfp4,prefill_decode,16,2048,80,3134.7033604979515,3134.482679516077,3125.5555413663387,3141.2256844341755,5.839288094750568,2214.7320210933685,2215.1993967592716,11.645206827906113,5.104151225798406,10453.301710435135,408.3320980638724,10861.633808499008
OK,sparse_bf16,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/checkpoints/uniform_sparse_bf16,prefill_only,8,2048,1,729.6977769583464,729.1400101035833,724.9817587435246,731.0436777770519,2.1696970580988597,727.6578489691019,841.9793367385864,0.0,10.963443020680419,22453.131306353498,10.963443020680419,22464.09474937418
OK,sparse_bf16,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/checkpoints/uniform_sparse_bf16,prefill_decode,16,2048,80,3020.9648311138153,3061.9472946971655,3012.7641204744577,3213.0808364599943,76.28450821128878,1448.9663932472467,1483.5930600762367,19.898714403374285,5.296321173689691,10846.865763716487,423.7056938951752,11270.57145761166
OK,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/checkpoints/uniform_sparse_nvfp4,prefill_only,8,2048,1,569.0096169710159,565.6089521944523,551.7584681510925,569.5662181824446,6.932072382282958,567.9820757359266,562.5678427517414,0.0,14.059516326957796,28793.889437609567,14.059516326957796,28807.948953936524
OK,sparse_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/baselines/llama3.1-8b-instruct/checkpoints/uniform_sparse_nvfp4,prefill_decode,16,2048,80,4589.6831545978785,4590.664931386709,4581.095976755023,4602.145247161388,7.480211733598248,1142.2200538218021,1138.4337607771158,43.63877342754527,3.4860794222737206,7139.49065681658,278.88635378189764,7418.377010598478
