method,policy,selected_modules,replaced_modules,nll,ppl,tokens,nll_delta_vs_dense,arc_limit,arc_acc,arc_acc_norm,arc_sample_len
dense_bf16,none,0,0,2.039499126068533,7.686758137742757,16352,0.0,,0.7554713804713805,0.7382154882154882,2376
dense_nvfp4,all,224,224,2.076294759015048,7.974865306131984,16352,0.03679563294651489,,0.7563131313131313,0.7331649831649831,2376
sparse_bf16,all,224,224,2.3901189703297474,10.914792402252603,16352,0.3506198442612143,,0.648989898989899,0.5925925925925926,2376
sparse_nvfp4,all,224,224,3.1070349109149493,22.35466246952257,16352,1.0675357848464162,,0.37037037037037035,0.3602693602693603,2376
