module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.2.mlp.down_proj,2,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.003505596841804656
model.layers.3.self_attn.o_proj,3,o_proj,attention,dense_bf16,sparse_bf16,-1.1236383914947512,0.0015192507044065882
model.layers.3.mlp.down_proj,3,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.003261885115280032
model.layers.5.mlp.down_proj,5,down_proj,mlp,dense_nvfp4,sparse_bf16,-1.8733407735824583,0.00200864082201659
model.layers.6.self_attn.q_proj,6,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.0012875492668239085
model.layers.7.self_attn.q_proj,7,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.0015696090534003373
model.layers.8.self_attn.q_proj,8,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.0015150854570539051
model.layers.9.self_attn.q_proj,9,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.0018468360567731577
model.layers.10.self_attn.q_proj,10,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.001660594701812798
model.layers.12.self_attn.q_proj,12,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.0016871458417244375
model.layers.13.self_attn.q_proj,13,q_proj,attention,dense_bf16,dense_nvfp4,-0.42253764867782584,0.001129550677022304
model.layers.14.mlp.down_proj,14,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0032124721739059748
model.layers.15.self_attn.q_proj,15,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.001536642064633476
model.layers.16.self_attn.q_proj,16,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.0018050651210691855
model.layers.18.self_attn.q_proj,18,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.0016109608026195783
model.layers.18.self_attn.k_proj,18,k_proj,attention,dense_bf16,sparse_bf16,-1.1184288024902345,0.0017780603206473213
model.layers.19.mlp.down_proj,19,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.003333488706718177
model.layers.20.mlp.down_proj,20,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0031694645223243017
model.layers.24.mlp.down_proj,24,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0032862219939654913
model.layers.25.self_attn.o_proj,25,o_proj,attention,dense_bf16,sparse_bf16,-1.1236383914947512,0.0018087288474866227
model.layers.26.self_attn.o_proj,26,o_proj,attention,dense_bf16,sparse_bf16,-1.1236383914947512,0.0016158934823511492
model.layers.31.self_attn.o_proj,31,o_proj,attention,dense_bf16,sparse_bf16,-1.1236383914947512,0.0014056883982308485
