module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.10.mlp.down_proj,10,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0029675573431499455
model.layers.13.mlp.down_proj,13,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0029780637155289516
model.layers.15.mlp.down_proj,15,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.002505930600986387
model.layers.16.mlp.down_proj,16,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0027151755360671982
model.layers.17.mlp.down_proj,17,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.002861274921755926
model.layers.18.mlp.down_proj,18,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0023592016480139086
model.layers.21.mlp.down_proj,21,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0026492041276366535
model.layers.22.mlp.down_proj,22,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0024802705833558434
model.layers.23.mlp.down_proj,23,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0023307956366099315
model.layers.26.mlp.down_proj,26,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.002441494239290546
model.layers.29.mlp.down_proj,29,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0028886406447455317
