module_name,layer,module_type,module_family,from_method,to_method,latency_delta_ms,quality_delta
model.layers.3.self_attn.q_proj,3,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.0009572236598712105
model.layers.3.self_attn.k_proj,3,k_proj,attention,dense_bf16,sparse_bf16,-1.1184288024902345,0.0010452663800017336
model.layers.4.self_attn.q_proj,4,q_proj,attention,dense_bf16,sparse_bf16,-1.1248064517974852,0.0009281173991607439
model.layers.4.self_attn.k_proj,4,k_proj,attention,dense_bf16,sparse_bf16,-1.1184288024902345,0.0009175088584752451
model.layers.4.mlp.down_proj,4,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.002595229190054912
model.layers.5.self_attn.k_proj,5,k_proj,attention,dense_bf16,sparse_bf16,-1.1184288024902345,0.0012168232724045543
model.layers.5.mlp.down_proj,5,down_proj,mlp,dense_bf16,dense_nvfp4,-1.282329654693604,0.0017482330630397872
model.layers.6.mlp.down_proj,6,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0028931085197690053
model.layers.7.mlp.down_proj,7,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.003321799896455814
model.layers.8.mlp.down_proj,8,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0031116249547161446
model.layers.9.mlp.down_proj,9,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0035280773568039207
model.layers.11.mlp.down_proj,11,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0032675809571311356
model.layers.12.mlp.down_proj,12,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0027089816751288075
model.layers.25.mlp.down_proj,25,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0029596138190383227
model.layers.27.mlp.down_proj,27,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0025774057280898797
model.layers.28.mlp.down_proj,28,down_proj,mlp,dense_bf16,sparse_bf16,-3.1556704282760624,0.0025585232632893804
