policy_id,display_name,family,measured_speedup_vs_dense_bf16,predicted_delta_nll,cnn_rougel,cnn_bertscore,dsum_rougel,dsum_bertscore,iwslt_bleu
p00,dense BF16,uniform,1.0,,19.389441069545747,83.58247647285462,13.481525557655804,78.27815932830174,10.777117680314003
p01,dense NVFP4,uniform,0.8303303236898546,,17.108201528992854,84.44395770430565,9.535346405387218,81.73196359475455,10.513537636643044
p02,sparse BF16,uniform,1.1320206741569812,,6.757145284974706,78.49686987996101,5.108351121709262,79.54650212128958,3.0383793044828002
p03,sparse NVFP4 projection,uniform,0.7917320109647461,,4.249054707468366,77.45050468444823,0.4073001137418995,78.41815919876099,0.05417525906868565
p04,W4A16/Marlin,uniform,1.1005513916571275,,17.49988728853111,83.95341525077819,9.751188582909416,80.92433616320292,10.563540333149085
point_000,point_000,ours,1.0,0.0,19.389441069545747,83.58247984647751,13.481525557655804,78.2781616806984,10.777117680314003
point_001,point_001,ours,1.0296508906298492,0.0,18.646976547877735,83.93301139473915,11.840791399316917,79.20228569904964,11.637852920373481
point_002,point_002,ours,1.0337294000262744,0.001830233880300655,18.586788082595284,83.9383052110672,11.249404794617593,79.4402827421824,10.944506662313282
point_003,point_003,ours,1.076660667590103,0.0029193262109224564,18.2954154899491,83.94589917659759,9.949292199806301,80.46536173820496,11.115958264399886
point_004,point_004,ours,1.1513382103174443,0.00821955234291661,18.688912580427118,83.8656574189663,10.923214196416414,80.21754329999288,10.763936867200105
point_005,point_005,ours,1.2622084500103583,0.019051284516168658,18.83737779698388,83.6607476592064,11.480470991847389,79.85620333751042,10.550166706755258
point_006,point_006,ours,1.3209908794374485,0.039423814649389266,16.77926294009014,84.17561638355255,9.305152844714685,81.20937754710515,10.31228473819827
point_007,point_007,ours,0.7391269061517438,0.07789759520314035,17.36633207459162,84.92303540706635,8.075358778663198,82.33634700775147,9.966774518448748
point_008,point_008,ours,1.3873399560309976,0.13015410266007602,8.218140002971362,80.1839396238327,6.3715419966055205,80.7593873699506,5.587378353634497
point_009,point_009,ours,1.3898481831050813,0.21331661455026413,10.267133959271767,81.04944870471954,5.970827135664267,80.48337394396464,6.711961065535733
point_010,point_010,ours,1.362255116184298,0.3407016030793237,14.623074957023618,83.01602869033815,4.616126032085197,79.87379549741746,0.9098435955292778
point_011,point_011,ours,1.420391083187566,0.37832787985828153,14.594762054492454,83.04250733852386,4.21360119411915,79.68840205669403,1.2885448827854236
