method,group,region,backend,calls,total_ms,avg_ms,first_ms,max_ms
sparse_bf16,linear_attn.in_proj_a,decode,sparse_bf16,768,76.17433600872755,0.09918533334469733,0.10831999778747559,0.11414399743080139
sparse_bf16,linear_attn.in_proj_a,prefill,sparse_bf16,24,2.960959978401661,0.12337333243340254,0.12358400225639343,0.13782399892807007
sparse_bf16,linear_attn.in_proj_b,decode,sparse_bf16,768,77.01814398169518,0.10028404164283226,0.11107199639081955,0.11356800049543381
sparse_bf16,linear_attn.in_proj_b,prefill,sparse_bf16,24,2.864864006638527,0.11936933360993862,0.13040000200271606,0.13040000200271606
sparse_bf16,linear_attn.in_proj_qkv,decode,sparse_bf16,768,86.0129278972745,0.11199599986624283,0.16991999745368958,0.16991999745368958
sparse_bf16,linear_attn.in_proj_qkv,prefill,sparse_bf16,24,58.883134841918945,2.4534639517466226,2.407423973083496,3.5594239234924316
sparse_bf16,linear_attn.in_proj_z,decode,sparse_bf16,768,78.74934390187263,0.10253820820556332,0.12409599870443344,0.12409599870443344
sparse_bf16,linear_attn.in_proj_z,prefill,sparse_bf16,24,30.823519945144653,1.284313331047694,1.3035520315170288,1.3035520315170288
sparse_bf16,linear_attn.out_proj,decode,sparse_bf16,768,94.66288001090288,0.1232589583475298,0.1327040046453476,0.5125759840011597
sparse_bf16,linear_attn.out_proj,prefill,sparse_bf16,24,29.960288166999817,1.2483453402916591,1.240064024925232,1.499168038368225
sparse_bf16,mlp.down_proj,decode,sparse_bf16,1024,196.9109439253807,0.1922958436771296,0.2001280039548874,0.2033279985189438
sparse_bf16,mlp.down_proj,prefill,sparse_bf16,32,114.7914879322052,3.5872339978814125,3.5645439624786377,3.9813120365142822
sparse_bf16,mlp.gate_proj,decode,sparse_bf16,1024,114.24323200434446,0.11156565625424264,0.1154559999704361,0.34652799367904663
sparse_bf16,mlp.gate_proj,prefill,sparse_bf16,32,115.09049677848816,3.596578024327755,3.5788800716400146,4.023295879364014
sparse_bf16,mlp.up_proj,decode,sparse_bf16,1024,107.78396797180176,0.10525778122246265,0.10601600259542465,0.12361600250005722
sparse_bf16,mlp.up_proj,prefill,sparse_bf16,32,114.68383979797363,3.583869993686676,3.5696640014648438,3.7990400791168213
sparse_bf16,self_attn.k_proj,decode,sparse_bf16,256,27.281856045126915,0.10656975017627701,0.10620799660682678,0.11587200313806534
sparse_bf16,self_attn.k_proj,prefill,sparse_bf16,8,2.8856000304222107,0.36070000380277634,0.3614720106124878,0.3614720106124878
sparse_bf16,self_attn.o_proj,decode,sparse_bf16,256,30.4969599545002,0.1191287498222664,0.12508800625801086,0.16412800550460815
sparse_bf16,self_attn.o_proj,prefill,sparse_bf16,8,10.101759910583496,1.262719988822937,1.240064024925232,1.4602240324020386
sparse_bf16,self_attn.q_proj,decode,sparse_bf16,256,28.262240014970303,0.11039937505847774,0.10937599837779999,0.12310399860143661
sparse_bf16,self_attn.q_proj,prefill,sparse_bf16,8,19.43347144126892,2.429183930158615,2.3992319107055664,2.615295886993408
sparse_bf16,self_attn.v_proj,decode,sparse_bf16,256,26.687967985868454,0.10424987494479865,0.10304000228643417,0.11478400230407715
sparse_bf16,self_attn.v_proj,prefill,sparse_bf16,8,2.8610879480838776,0.3576359935104847,0.35839998722076416,0.35843199491500854
