batch_size,point_index,quality_budget,quality_cost,latency_ms,dense_latency_ms,speedup_vs_dense_linear,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4
16,0,0.0,0.0,984.6786566709227,984.6786566709227,1.0,224,0,0,0
16,1,0.00015836173143936267,7.867094485375215e-05,977.4481532104161,984.6786566709227,1.0073973268421021,222,0,2,0
16,2,0.00020095486159070271,0.0001118578819803069,973.8329014801627,984.6786566709227,1.01113718295436,221,0,3,0
16,3,0.0002550038827556091,0.0001118578819803069,973.8329014801627,984.6786566709227,1.01113718295436,221,0,3,0
16,4,0.00032358998287327284,0.0001471301541940606,970.2176497499095,984.6786566709227,1.0149049101763308,220,0,4,0
16,5,0.00041062306928195906,0.00018052569498515928,966.6023980196561,984.6786566709227,1.0187008212355986,219,0,5,0
16,6,0.0005210646619199259,0.00029943670361400905,962.671114016648,984.6786566709227,1.0228609151493604,218,1,5,0
16,7,0.0006612107361052634,0.0004474953813277847,958.7398300136398,984.6786566709227,1.0270551257445035,217,2,5,0
16,8,0.0008390506389935353,0.0005715620761305926,955.1245782833865,984.6786566709227,1.030942642519631,216,2,6,0
16,9,0.0010647225405659227,0.000698676384857541,950.3259635531332,984.6786566709227,1.0361483264009221,214,2,8,0
16,10,0.0013510913831720317,0.0009223933419920358,945.211316550125,984.6786566709227,1.041755044009468,212,3,9,0
16,11,0.0017144822769615178,0.001259861564027627,938.5321115441088,984.6786566709227,1.0491688505477899,211,5,8,0
16,12,0.002175611150086711,0.0015786989437874064,932.2341015411007,984.6786566709227,1.0562568511955575,208,6,10,0
16,13,0.0027607657075173495,0.002113881699366242,924.3715335350844,984.6786566709227,1.0652412162728606,206,8,10,0
16,14,0.003503304021722814,0.0027216295966446713,914.1422395290682,984.6786566709227,1.077161314827977,202,10,12,0
16,15,0.004445556185807598,0.0034449433639595836,902.3483875200437,984.6786566709227,1.0912400025195925,199,13,12,0
16,16,0.005641237437181772,0.004565744916536525,886.6232515080112,984.6786566709227,1.1105942180019914,195,17,12,0
16,17,0.007158510317394619,0.006054707228375441,869.8877055636755,984.6786566709227,1.131960654660436,189,20,15,0
16,18,0.009083870433548996,0.007966843902692675,849.1382505456268,984.6786566709227,1.1596211288776619,186,25,13,0
16,19,0.011527077338003762,0.010247921548557115,823.895660527578,984.6786566709227,1.1951497062630334,178,32,14,0
16,20,0.014627411622427474,0.013279824656748748,792.9169115035129,984.6786566709227,1.2418434294758516,171,39,14,0
16,21,0.0185616149261457,0.017230808516155702,759.0999134794479,984.6786566709227,1.2971660768047002,161,47,16,0
16,22,0.02355396549709852,0.021978884565889274,717.6606644493665,984.6786566709227,1.3720671975611605,148,59,17,0
16,23,0.02988906368578077,0.02829618724399121,672.8529730497979,984.6786566709227,1.4634380705902692,137,64,23,0
16,24,0.037928056238458276,0.03626173339554195,627.015099491816,984.6786566709227,1.5704225583546334,122,67,35,0
16,25,0.048129224292563375,0.046089104425179994,581.7444559052382,984.6786566709227,1.6926309252723148,97,64,63,0
16,26,0.06107410873998516,0.05834385832454027,539.2955781102961,984.6786566709227,1.8258608018283016,59,69,96,0
16,27,0.07750066229427832,0.07466079181762918,502.2428033862758,984.6786566709227,1.960562998676966,33,58,126,7
16,28,0.09834531817112577,0.09563083977658533,465.8717465982496,984.6786566709227,2.1136260437791106,6,49,153,16
16,29,0.12479637360330023,0.12226210840891068,434.9761705941129,984.6786566709227,2.263753104741342,0,1,160,63
16,30,0.15836173143936266,0.12290974999584213,434.48503106211,984.6786566709227,2.266312039022035,0,0,160,64
