policy_index,policy_name,policy_json,label,backend_counts,sparse_bf16_count,scenario
26,policy_026_random_count_190_seed_37,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_026_random_count_190_seed_37.json,random_count_190_seed_37,"{'dense_bf16': 34, 'sparse_bf16': 190}",190,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_random', 'count': 190, 'seed': 37}"
27,policy_027_layer_00_07,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_027_layer_00_07.json,layer_00_07,"{'dense_bf16': 168, 'sparse_bf16': 56}",56,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_layer_bucket', 'start_layer': 0, 'end_layer': 7}"
28,policy_028_layer_08_15,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_028_layer_08_15.json,layer_08_15,"{'dense_bf16': 168, 'sparse_bf16': 56}",56,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_layer_bucket', 'start_layer': 8, 'end_layer': 15}"
29,policy_029_layer_16_23,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_029_layer_16_23.json,layer_16_23,"{'dense_bf16': 168, 'sparse_bf16': 56}",56,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_layer_bucket', 'start_layer': 16, 'end_layer': 23}"
30,policy_030_layer_24_31,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_030_layer_24_31.json,layer_24_31,"{'dense_bf16': 168, 'sparse_bf16': 56}",56,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_layer_bucket', 'start_layer': 24, 'end_layer': 31}"
31,policy_031_attention_only,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_031_attention_only.json,attention_only,"{'dense_bf16': 96, 'sparse_bf16': 128}",128,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_family', 'family': 'attention'}"
32,policy_032_mlp_only,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_032_mlp_only.json,mlp_only,"{'dense_bf16': 128, 'sparse_bf16': 96}",96,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_family', 'family': 'mlp'}"
33,policy_033_type_q_proj,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_033_type_q_proj.json,type_q_proj,"{'dense_bf16': 192, 'sparse_bf16': 32}",32,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_type', 'module_type': 'q_proj'}"
34,policy_034_type_k_proj,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_034_type_k_proj.json,type_k_proj,"{'dense_bf16': 192, 'sparse_bf16': 32}",32,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_type', 'module_type': 'k_proj'}"
35,policy_035_type_v_proj,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_035_type_v_proj.json,type_v_proj,"{'dense_bf16': 192, 'sparse_bf16': 32}",32,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_type', 'module_type': 'v_proj'}"
36,policy_036_type_o_proj,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_036_type_o_proj.json,type_o_proj,"{'dense_bf16': 192, 'sparse_bf16': 32}",32,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_type', 'module_type': 'o_proj'}"
37,policy_037_type_gate_proj,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_037_type_gate_proj.json,type_gate_proj,"{'dense_bf16': 192, 'sparse_bf16': 32}",32,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_type', 'module_type': 'gate_proj'}"
38,policy_038_type_up_proj,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_038_type_up_proj.json,type_up_proj,"{'dense_bf16': 192, 'sparse_bf16': 32}",32,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_type', 'module_type': 'up_proj'}"
39,policy_039_type_down_proj,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_039_type_down_proj.json,type_down_proj,"{'dense_bf16': 192, 'sparse_bf16': 32}",32,"{'mode': 'single_forward', 'debug': 'controlled_sparse_bf16_type', 'module_type': 'down_proj'}"
