supported,reason,latency_ms,source,prediction_status,prediction_error,batch_size,m,prediction_m,n,k,backend
True,,0.20785700000000001,measured,pass,,1,1024,1024,4096,4096,dense_bf16
True,,0.1792585,measured,pass,,1,1024,1024,4096,4096,dense_nvfp4
True,,0.1179155,measured,pass,,1,1024,1024,4096,4096,sparse_bf16
True,,0.154356,measured,pass,,1,1024,1024,4096,4096,sparse_nvfp4
True,,0.49892113673260635,predicted,pass,,1,1024,1024,4096,11008,dense_bf16
True,,0.3382469216933928,predicted,pass,,1,1024,1024,4096,11008,dense_nvfp4
True,,0.2684340843938448,predicted,pass,,1,1024,1024,4096,11008,sparse_bf16
True,,0.2905279842345667,predicted,pass,,1,1024,1024,4096,11008,sparse_nvfp4
True,,0.500339998678145,predicted,pass,,1,1024,1024,11008,4096,dense_bf16
True,,0.22511116805761194,predicted,pass,,1,1024,1024,11008,4096,dense_nvfp4
True,,0.26557617182583415,predicted,pass,,1,1024,1024,11008,4096,sparse_bf16
True,,0.1968928001890074,predicted,pass,,1,1024,1024,11008,4096,sparse_nvfp4
