supported,reason,latency_ms,source,prediction_status,prediction_error,batch_size,m,prediction_m,n,k,backend
True,,0.762176,measured,pass,,4,4096,4096,4096,4096,dense_bf16
True,,0.416158,measured,pass,,4,4096,4096,4096,4096,dense_nvfp4
True,,0.365293,measured,pass,,4,4096,4096,4096,4096,sparse_bf16
True,,0.377899,measured,pass,,4,4096,4096,4096,4096,sparse_nvfp4
True,,1.9135158399960388,predicted,pass,,4,4096,4096,4096,11008,dense_bf16
True,,1.1790292953294659,predicted,pass,,4,4096,4096,4096,11008,dense_nvfp4
True,,0.9661910731511151,predicted,pass,,4,4096,4096,4096,11008,sparse_bf16
True,,1.0929859100650352,predicted,pass,,4,4096,4096,4096,11008,sparse_nvfp4
True,,1.8145698935670962,predicted,pass,,4,4096,4096,11008,4096,dense_bf16
True,,0.6509219274804818,predicted,pass,,4,4096,4096,11008,4096,dense_nvfp4
True,,0.9092331843121566,predicted,pass,,4,4096,4096,11008,4096,sparse_bf16
True,,0.5517818503377833,predicted,pass,,4,4096,4096,11008,4096,sparse_nvfp4
