supported,reason,latency_ms,source,prediction_status,prediction_error,batch_size,m,prediction_m,n,k,backend
True,,2.441358,measured,pass,,16,16384,16384,4096,4096,dense_bf16
True,,1.969835,measured,pass,,16,16384,16384,4096,4096,dense_nvfp4
True,,1.257995,measured,pass,,16,16384,16384,4096,4096,sparse_bf16
True,,1.8060494999999999,measured,pass,,16,16384,16384,4096,4096,sparse_nvfp4
True,,7.019237382643977,predicted,pass,,16,16384,16384,4096,11008,dense_bf16
True,,4.934856405513043,predicted,pass,,16,16384,16384,4096,11008,dense_nvfp4
True,,3.4039856523906575,predicted,pass,,16,16384,16384,4096,11008,sparse_bf16
True,,4.5866232192169125,predicted,pass,,16,16384,16384,4096,11008,sparse_nvfp4
True,,6.993269319161178,predicted,pass,,16,16384,16384,11008,4096,dense_bf16
True,,3.0619853161530486,predicted,pass,,16,16384,16384,11008,4096,dense_nvfp4
True,,3.3904291110950173,predicted,pass,,16,16384,16384,11008,4096,sparse_bf16
True,,2.5708457841501398,predicted,pass,,16,16384,16384,11008,4096,sparse_nvfp4
