supported,reason,latency_ms,source,prediction_status,prediction_error,batch_size,m,prediction_m,n,k,backend
True,,0.387783,measured,pass,,2,2048,2048,4096,4096,dense_bf16
True,,0.21869349999999999,measured,pass,,2,2048,2048,4096,4096,dense_nvfp4
True,,0.215636,measured,pass,,2,2048,2048,4096,4096,sparse_bf16
True,,0.201859,measured,pass,,2,2048,2048,4096,4096,sparse_nvfp4
True,,0.9846591372922003,predicted,pass,,2,2048,2048,4096,11008,dense_bf16
True,,0.6161100353609755,predicted,pass,,2,2048,2048,4096,11008,dense_nvfp4
True,,0.5130693747467034,predicted,pass,,2,2048,2048,4096,11008,sparse_bf16
True,,0.5828037906155628,predicted,pass,,2,2048,2048,4096,11008,sparse_nvfp4
True,,0.9517530929178852,predicted,pass,,2,2048,2048,11008,4096,dense_bf16
True,,0.3590806055009777,predicted,pass,,2,2048,2048,11008,4096,dense_nvfp4
True,,0.48020203828590585,predicted,pass,,2,2048,2048,11008,4096,sparse_bf16
True,,0.2993950398151209,predicted,pass,,2,2048,2048,11008,4096,sparse_nvfp4
