conversion,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples
canonical_to_cutlass,4096,4096,0.023115,0.023115,0.0,0.023115,0.023115,1
canonical_to_cutlass,4096,11008,0.023384,0.023384,0.0,0.023384,0.023384,1
canonical_to_cutlass,12288,4096,0.024582,0.024582,0.0,0.024582,0.024582,1
canonical_to_cutlass,22016,4096,0.026282,0.026282,0.0,0.026282,0.026282,1
canonical_to_marlin,4096,4096,0.365083,0.365083,0.0,0.365083,0.365083,1
canonical_to_marlin,4096,11008,0.453011,0.453011,0.0,0.453011,0.453011,1
canonical_to_marlin,12288,4096,0.481218,0.481218,0.0,0.481218,0.481218,1
canonical_to_marlin,22016,4096,0.672952,0.672952,0.0,0.672952,0.672952,1
