method,scenario,phase,iteration,warmup,batch,input_seq,output_seq,elapsed_ms,generated_tokens
dense_bf16,prefill_only,ttft,0,True,8,2048,1,1237.5501058995724,8
dense_bf16,prefill_only,ttft,1,False,8,2048,1,1141.99373498559,8
dense_bf16,prefill_only,ttft,2,False,8,2048,1,1141.421303153038,8
dense_bf16,prefill_only,ttft,3,False,8,2048,1,1141.5688302367926,8
dense_bf16,prefill_only,ttft,4,False,8,2048,1,1140.9931872040033,8
dense_bf16,prefill_only,ttft,5,False,8,2048,1,1141.1612778902054,8
dense_bf16,prefill_only,main,0,True,8,2048,1,1142.1924699097872,8
dense_bf16,prefill_only,main,1,False,8,2048,1,1141.7880598455667,8
dense_bf16,prefill_only,main,2,False,8,2048,1,1140.7528463751078,8
dense_bf16,prefill_only,main,3,False,8,2048,1,1143.1943904608488,8
dense_bf16,prefill_only,main,4,False,8,2048,1,1158.627439290285,8
dense_bf16,prefill_only,main,5,False,8,2048,1,1165.9815199673176,8
dense_bf16,prefill_decode,ttft,0,True,16,2048,1,2371.699448674917,16
dense_bf16,prefill_decode,ttft,1,False,16,2048,1,2284.1836605221033,16
dense_bf16,prefill_decode,ttft,2,False,16,2048,1,2284.272514283657,16
dense_bf16,prefill_decode,ttft,3,False,16,2048,1,2286.6342067718506,16
dense_bf16,prefill_decode,ttft,4,False,16,2048,1,2284.427361562848,16
dense_bf16,prefill_decode,ttft,5,False,16,2048,1,2283.5107147693634,16
dense_bf16,prefill_decode,main,0,True,16,2048,80,3711.045516654849,1280
dense_bf16,prefill_decode,main,1,False,16,2048,80,3624.3899893015623,1280
dense_bf16,prefill_decode,main,2,False,16,2048,80,3622.602617368102,1280
dense_bf16,prefill_decode,main,3,False,16,2048,80,3648.101232945919,1280
dense_bf16,prefill_decode,main,4,False,16,2048,80,3629.3114814907312,1280
dense_bf16,prefill_decode,main,5,False,16,2048,80,3632.129769772291,1280
