method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_hybrid_linear_attn_block_pct,prefill_full_attn_block_pct,prefill_mlp_block_pct,prefill_norm_pct,prefill_lm_head_pct,prefill_vision_pct,prefill_all_linear_pct,prefill_other_pct,decode_hybrid_linear_attn_block_pct,decode_full_attn_block_pct,decode_mlp_block_pct,decode_norm_pct,decode_lm_head_pct,decode_vision_pct,decode_all_linear_pct,decode_other_pct,prefill_total_ms,decode_total_ms,status
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,4,128,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,83.28025088770826,4.135882314461082,4.345560161912697,4.835180283276333,0.6188683778204686,,9.08942527788436,2.784257974821159,49.19568661506238,12.32938159533727,13.225219888951383,15.131220755093903,2.028150614550244,,25.826754530037054,8.090340531004827,128.81627655029297,39.25672950744629,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,16,128,False,16,0,16,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,80.16514498505094,4.569085099412748,5.900080208095589,4.615188324354559,0.5347365235389099,,9.416309937553798,4.215764859547249,46.9785685651267,11.770720406861432,15.52920208236056,14.043449664031884,1.6589579369146232,,24.67276632413863,10.019101344704794,150.27841796875,47.94489212036133,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,64,128,False,64,0,64,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,77.59512148403273,4.744327663788584,7.0542467795369195,5.124580527821954,0.5538866392526182,,10.645928964225945,4.92783690556719,45.76642654459411,11.619096532829477,17.0207330831764,13.300863277258001,1.4518663914786278,,23.56485354573814,10.841014170663385,157.29658966064454,55.08055114746094,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,1,256,128,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,31.154908700080842,61.44958031834358,3.0403276215636232,1.9527048303577792,0.33275022141194943,,4.786014713717796,2.069728308242233,44.21131830122828,11.603647798533702,18.504560935553954,12.93898430329639,1.2686642843800553,,24.23499567268344,11.472824377007612,443.5423049926758,63.565941619873044,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,4,4,128,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,73.6755385214012,4.9613869339931504,9.22143130746194,5.470654927986069,0.4617905528734561,,11.389917189010344,6.209197756284198,42.63310260772545,11.820587949055657,20.375278381958232,12.019725306221126,1.0923489977239298,,26.89274815316926,12.058956757315613,175.18037109375,73.44641723632813,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,4,16,128,False,16,0,16,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,71.98277519152376,4.945948985258066,10.390441916570587,5.551080516590772,0.47589393597602486,,12.40139593694147,6.653859454080788,43.110260303243756,10.768903748132015,20.54708164935465,11.882360601889248,0.988016644317108,,27.133800557123077,12.703377053063221,184.14456024169922,81.5024314880371,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,4,64,128,False,64,0,64,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,70.59882758030042,5.2392222832295845,10.914554287808587,5.646505122300037,0.7796274851627768,,13.852671477768459,6.821263241198594,42.51543980118467,10.908508358139406,21.30711965780431,11.61990286407237,0.9048648729992629,,26.78190730114679,12.744164445799981,190.02264556884765,88.9785888671875,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,4,256,128,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,69.55620259988447,5.139436473206381,13.436661763608267,3.9487937417519943,2.5077037339690333,,23.84503814687046,5.411201687579847,95.75291310779217,0.7775038983491643,1.5972355369090618,0.8697556563657187,0.060296432761394333,,2.0401942842889746,0.9422953678224957,217.09256439208986,1336.1453773498536,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,16,4,128,False,4,0,4,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,67.95683821458454,5.481034973252596,12.665961998842459,6.045596042768563,0.4337043219493727,,14.677436278506429,7.4168644486024675,41.58701626675898,10.770550861939968,22.259351096659508,11.396465459827787,0.7938815225345847,,27.538036180263834,13.192734792279168,203.43223571777344,102.19157180786132,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,16,16,128,False,16,0,16,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,66.73801327805117,5.81363255473142,12.80645370107067,6.020131363035328,0.6985248383733993,,15.955513145074775,7.923244264738017,40.9070881439031,10.907340611806196,22.409855018747905,10.950295737208085,0.734592736202186,,28.321952350775867,14.090827752132526,212.46420135498047,110.70166778564453,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,16,64,128,False,64,0,64,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,64.00596084957645,5.7129989272450965,14.042327201790384,6.217373174180507,2.4412979978401093,,24.669648653271874,7.580041849367447,1.7906681324214129,0.45964986487541953,96.57795051283703,0.49146562219459705,0.030435312378813254,,1.2449892902472082,0.6498305552927235,223.13716735839844,2680.875366973877,
dense,4B,/home/agent/wja/data/models/Qwen/Qwen3.5-4B,16,256,128,False,256,0,256,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,58.61763846721837,5.323882133263126,25.761275085862405,2.5387963188109155,6.284417298990403,,45.977489439740786,1.4739906958547806,40.21051069414716,10.46094820818742,23.648551506218492,10.87678871068904,0.6508330850259918,,28.696620400528126,14.152367795731891,341.5635650634766,125.14028854370117,
