policy_id,policy_kind,legacy_delta_nll,phase_unified_delta_nll,phase_minus_legacy
p00,uniform,0.0,0.0,0.0
p01,uniform,0.05382193267149571,0.04210258689224888,-0.011719345779246826
p02,uniform,0.34570702506088535,1.8011125802710537,1.4554055552101683
p03,uniform,1.1478094987739684,6.1200440344875116,4.972234535713543
p04,uniform,0.037335596794509485,0.025886642898908185,-0.0114489538956013
p05,controlled,0.001727187255406104,0.001727187255406104,0.0
p06,controlled,0.006031418790849896,0.006031418790849896,0.0
p07,controlled,0.11004831161937423,0.11004831161937423,0.0
p08,controlled,0.007754753183966567,0.007754753183966567,0.0
p09,controlled,-0.0007251748477408171,-0.0007251748477408171,0.0
p10,controlled,-0.002704364807455173,-0.002704364807455173,0.0
p11,controlled,0.14626413992423348,0.14626413992423348,0.0
p12,controlled,0.002031165249118949,0.002031165249118949,0.0
p13,controlled,0.00020069990811988347,0.00020069990811988347,0.0
p14,controlled,0.006523399870138613,0.006523399870138613,0.0
p15,controlled,0.08862217315953869,0.08862217315953869,0.0
p16,controlled,0.0017535867192663979,0.0017535867192663979,0.0
p17,controlled,0.0027914212885096212,0.0027914212885096212,0.0
p18,controlled,0.005196341318772779,0.005196341318772779,0.0
p19,controlled,0.2081540220911151,0.2081540220911151,0.0
p20,controlled,7.5932146945678625e-06,7.5932146945678625e-06,0.0
p21,controlled,0.012873509864070654,0.012873509864070654,0.0
p22,controlled,0.4570909428188412,0.4570909428188412,0.0
p23,controlled,2.3000201746706375,2.3000201746706375,0.0
p24,controlled,0.01062059164406981,0.01062059164406981,0.0
p25,controlled,0.007263622433076655,0.007263622433076655,0.0
p26,controlled,0.1792408394420537,0.1792408394420537,0.0
p27,controlled,0.313940899596691,0.313940899596691,0.0
p28,controlled,0.00622360597772631,0.00622360597772631,0.0
p29,controlled,0.007948145063639167,0.007948145063639167,0.0
p30,controlled,0.12135253187784478,0.12135253187784478,0.0
p31,controlled,0.2589532754598891,0.2589532754598891,0.0
p32,controlled,0.00451923123651321,0.00451923123651321,0.0
p33,controlled,0.011591031189782663,0.011591031189782663,0.0
p34,controlled,0.29844669336369023,0.29844669336369023,0.0
p35,controlled,0.4539667858159504,0.4539667858159504,0.0
p36,controlled,0.004452508581129999,0.004452508581129999,0.0
p37,balanced_mixed,0.06080355449803143,0.06080355449803143,0.0
p38,balanced_mixed,0.06772637755149447,0.06772637755149447,0.0
p39,balanced_mixed,0.27742237294482486,0.27742237294482486,0.0
p40,balanced_mixed,0.3897029709283495,0.3897029709283495,0.0
p41,balanced_mixed,0.41457658730524827,0.41457658730524827,0.0
p42,balanced_mixed,0.066899056407276,0.066899056407276,0.0
p43,balanced_mixed,0.060630732054975045,0.060630732054975045,0.0
p44,balanced_mixed,0.22201566987509036,0.22201566987509036,0.0
p45,balanced_mixed,0.3869278762747723,0.3869278762747723,0.0
p46,balanced_mixed,0.5032195175977292,0.5032195175977292,0.0
p47,balanced_mixed,0.047102756503855314,0.047102756503855314,0.0
p48,balanced_mixed,0.2745981940720461,0.2745981940720461,0.0
p49,balanced_mixed,0.1779047250169925,0.1779047250169925,0.0
p50,balanced_mixed,0.3168204112792421,0.3168204112792421,0.0
p51,balanced_mixed,0.5839348856009527,0.5839348856009527,0.0
p52,balanced_mixed,0.030554068290344016,0.030554068290344016,0.0
p53,balanced_mixed,0.1379409813752175,0.1379409813752175,0.0
p54,balanced_mixed,0.347310675969255,0.347310675969255,0.0
p55,balanced_mixed,0.22653198972509925,0.22653198972509925,0.0
p56,balanced_mixed,0.4898734760520478,0.4898734760520478,0.0
p57,balanced_mixed,0.029965329940333962,0.029965329940333962,0.0
p58,balanced_mixed,0.05068378522086503,0.05068378522086503,0.0
p59,balanced_mixed,0.19300038279836595,0.19300038279836595,0.0
p60,balanced_mixed,0.5921056213849312,0.5921056213849312,0.0
p61,balanced_mixed,0.3859086204466844,0.3859086204466844,0.0
p62,balanced_mixed,0.20921466434959957,0.20921466434959957,0.0
p63,balanced_mixed,0.05328566771485521,0.05328566771485521,0.0
p64,balanced_mixed,0.13495698639021647,0.13495698639021647,0.0
p65,balanced_mixed,0.2029870025895133,0.2029870025895133,0.0
p66,balanced_mixed,0.5148835142851991,0.5148835142851991,0.0
p67,balanced_mixed,0.06177996079151704,0.06177996079151704,0.0
p68,balanced_mixed,0.13385501954074375,0.13385501954074375,0.0
p69,balanced_mixed,0.08704285148876378,0.08704285148876378,0.0
p70,balanced_mixed,0.4099630186409873,0.4099630186409873,0.0
p71,balanced_mixed,0.551818843897617,0.551818843897617,0.0
