method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
sparse_bf16,0,down_proj,16,0.014583388780271728,8.015448132425718e-05,1073741824
sparse_bf16,0,gate_up_proj,16,0.037804446178655596,0.002240544765300001,7516192768
sparse_bf16,0,o_proj,16,0.043795168430235135,2.4624407831019823e-05,1073741824
sparse_bf16,0,qkv_proj,16,0.004020350076177059,0.007800027028897223,1610612736
sparse_bf16,1,down_proj,16,0.07359409347803274,0.0002853714747743652,1073741824
sparse_bf16,1,gate_up_proj,16,0.02965323573911071,0.004532427829482393,7516192768
sparse_bf16,1,o_proj,16,0.07195527364446787,0.0001488358269057244,1073741824
sparse_bf16,1,qkv_proj,16,0.009293825434658868,0.016622560092097654,1610612736
sparse_bf16,2,down_proj,16,0.07835831072210367,0.0006726664505549707,1073741824
sparse_bf16,2,gate_up_proj,16,0.04131912480636988,0.008075044205595207,7516192768
sparse_bf16,2,o_proj,16,0.07032460275481428,0.0001355460245804352,1073741824
sparse_bf16,2,qkv_proj,16,0.010407175247483101,0.018814688624540093,1610612736
sparse_bf16,3,down_proj,16,0.015212199986036724,0.0021963995022815652,1073741824
sparse_bf16,3,gate_up_proj,16,0.032077650476339765,0.014587792006620606,7516192768
sparse_bf16,3,o_proj,16,0.033219606025032475,0.0006390666952711399,1073741824
sparse_bf16,3,qkv_proj,16,0.010489708185339654,0.020606929894711357,1610612736
