method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
sparse_nvfp4,0,down_proj,16,0.13918290219356533,0.00015915765333147648,41943040
sparse_nvfp4,0,gate_up_proj,16,0.0742382512478479,0.004403092245878985,293601280
sparse_nvfp4,0,o_proj,16,0.0887288778275485,5.126091209746164e-05,41943040
sparse_nvfp4,0,qkv_proj,16,0.008213715585854372,0.01655780182215191,62914560
sparse_nvfp4,1,down_proj,16,0.14746812985233435,0.0005856802903508651,41943040
sparse_nvfp4,1,gate_up_proj,16,0.06166557084406179,0.009538507804141514,293601280
sparse_nvfp4,1,o_proj,16,0.14412531309708798,0.0003156784298880666,41943040
sparse_nvfp4,1,qkv_proj,16,0.019062232981998363,0.036913223657757045,62914560
sparse_nvfp4,2,down_proj,16,0.1567405793798514,0.0013585800217697397,41943040
sparse_nvfp4,2,gate_up_proj,16,0.08535073304929217,0.016873632870348435,293601280
sparse_nvfp4,2,o_proj,16,0.1422323201046036,0.00028672222024397345,41943040
sparse_nvfp4,2,qkv_proj,16,0.02114757974285141,0.040963702863276316,62914560
sparse_nvfp4,3,down_proj,16,0.03474099786745811,0.004756077162892325,41943040
sparse_nvfp4,3,gate_up_proj,16,0.06656773564712024,0.030589711390036557,293601280
sparse_nvfp4,3,o_proj,16,0.07073561543133572,0.0014267354641560813,41943040
sparse_nvfp4,3,qkv_proj,16,0.02160193620349168,0.0448461313964799,62914560
