method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
dense_nvfp4,0,down_proj,16,0.006357858788323799,7.27030309768395e-06,41943040
dense_nvfp4,0,gate_up_proj,16,0.003274545002501996,0.00019421421527243053,293601280
dense_nvfp4,0,o_proj,16,0.007125108709979229,4.116355128225279e-06,41943040
dense_nvfp4,0,qkv_proj,16,0.0005871331302831746,0.001183585420365792,62914560
dense_nvfp4,1,down_proj,16,0.006889636773462204,2.7362688263110614e-05,41943040
dense_nvfp4,1,gate_up_proj,16,0.0025923942694679207,0.00040099479551177603,293601280
dense_nvfp4,1,o_proj,16,0.013603744704788208,2.979635344217968e-05,41943040
dense_nvfp4,1,qkv_proj,16,0.0010771855597742303,0.0020859251655565457,62914560
dense_nvfp4,2,down_proj,16,0.006831003850919919,5.920907908603112e-05,41943040
dense_nvfp4,2,gate_up_proj,16,0.0035172775934053124,0.0006953572476049886,293601280
dense_nvfp4,2,o_proj,16,0.008864564874902793,1.7869832402084284e-05,41943040
dense_nvfp4,2,qkv_proj,16,0.0012685814929101898,0.0024572927949823983,62914560
dense_nvfp4,3,down_proj,16,0.003560124397269307,0.0004873845710335445,41943040
dense_nvfp4,3,gate_up_proj,16,0.0026170657306606253,0.0012026139181606206,293601280
dense_nvfp4,3,o_proj,16,0.005255462358062277,0.00010600253466463982,41943040
dense_nvfp4,3,qkv_proj,16,0.0011774168655764399,0.002444345310747546,62914560
